,Questions,Answers,MistralAI,AnswersWithRag,,
51,All the following are vitamin Kâ€“dependent coagu- lation factors EXCEPT: A. Factor X B. Factor VII C. Protein C D. Protein S E. Factor VIII,"The answer is E.  (Chap. 20) Vitamin K is a fat-soluble vitamin that plays  an essential role in hemostasis. It is absorbed in the small  intestine and stored in the liver. It serves as a cofactor in  the enzymatic carboxylation of glutamic acid residues on  prothrombin-complex proteins. The three major causes  of vitamin K deficiency are poor dietary intake, intesti- nal malabsorption, and liver disease. The prothrombin  complex proteins (factors II, VII, IX, and X and protein  C and protein S) all decrease with vitamin K deficiency.  Factor VII and protein C have the shortest half-lives  of these factors and therefore decrease first. Therefore,  vitamin K deficiency manifests with prolongation of the  prothrombin time first. With severe deficiency, the acti- vated partial thromboplastin time will be prolonged as  well. Factor VIII is not influenced by vitamin K.","

Answer: C. Protein C

Explanation:
Protein C is not a vitamin K-dependent coagulation factor. It is an anticoagulant protein, which means it inhibits the coagulation process. Protein C is synthesized in the liver and requires vitamin K for its post-translational carboxylation, but it is not considered a vitamin K-dependent coagulation factor itself. The other factors listed (Factor X, Factor VII, Factor VIII, and Factor IX) are all vitamin K-dependent proteins that play crucial roles in the coagulation cascade.","
Explanation: All the given factors, Factor X, Factor VII, Protein C, Protein S, and Factor VIII, are vitamin K–dependent coagulation factors. Therefore, none of the options is the correct answer. However, if we assume that the query is asking for the exception among the given factors that are not vitamin K–dependent, then the answer would be E. Factor VIII is not a vitamin K–dependent coagulation factor. It is synthesized in the liver and also in endothelial cells.",0,0
52,A 31-year-old man with hemophilia A is admitted  with persistent gross hematuria. He denies recent  trauma and any history of genitourinary pathology.  The examination is unremarkable. Hematocrit is  28%. All the following are treatments for hemo- philia A EXCEPT: A. Desmopressin (DDAVP) B. Fresh-frozen plasma C. Cryoprecipitate D. Recombinant factor VIII E. Plasmapheresis,"The answer is E.  (Chap. 20) Hemophilia A results from a deficiency of  factor VIII. Replacement of factor VIII is the center- piece of treatment. Cessation of aspirin or nonsteroi- dal anti-inflammatory drugs is highly recommended.  Fresh-frozen plasma (FFP) contains pooled plasma from  human sources. Cryoprecipitate refers to FFP that is  cooled, resulting in the precipitation of material at the  bottom of the plasma. This product contains about half  the factor VIII activity of FFP in a tenth of the volume.  Both agents are therefore reasonable treatment options.  DDAVP (desmopressin) causes the release of a number  of factors and von Willebrand factor from the liver and  endothelial cells. This may be useful for patients with  mild hemophilia. Recombinant or purified factor VIII  (i.e., Humate P) is indicated in patients with more severe  bleeding. Therapy may be required for weeks, with lev- els of factor VIII kept at 50%, for postsurgical or severe  bleeding. Plasmapheresis has no role in the treatment of  patients with hemophilia A.","

Answer: E. Plasmapheresis

Explanation:
Plasmapheresis is a procedure used to remove plasma from the blood and replace it with other fluids. It is not a treatment for hemophilia A. Hemophilia A is a genetic disorder caused by a deficiency of factor VIII, a clotting factor. The treatments for hemophilia A include:

1. Desmopressin (DDAVP): It is a synthetic analog of vasopressin, which stimulates the release of factor VIII from the endothelial cells. It is used to increase the level of factor VIII in the blood in mild to moderate hemorrhage.
2. Fresh-frozen plasma (FFP): It is a pooled human blood product that contains all the clotting factors, including factor VIII. It is used to replace the missing clotting factors in severe hemorrhage.
3. Cryoprecipitate: It is a blood product that contains high levels of factor VIII and von Willebrand factor. It is used to replace the missing clotting factors in severe hemorrhage.
4. Recombinant factor VIII:","
E. Plasmapheresis

Explanation:
Plasmapheresis is not a treatment for hemophilia A. It is used for the removal of plasma components, such as antibodies, in various clinical scenarios, including the treatment of thrombotic thrombocytopenic purpura (TTP) and hemolytic uremic syndrome (HUS). However, it is not a treatment for hemophilia A. Instead, treatments for hemophilia A include desmopressin (DDAVP), fresh-frozen plasma, cryoprecipitate, and recombinant factor VIII.",1,1
53,All of the following statements regarding the lupus  anticoagulant (LA) are true EXCEPT: A. LAs typically prolong the activated partial thrombo- plastin time. B. A 1:1 mixing study will not correct in the presence  of LAs. C. Bleeding episodes in patients with LAs may be   severe and life threatening. D. Female patients may experience recurrent   midtrimester abortions. E. LAs may occur in the absence of other signs of   systemic lupus erythematosus.,"The answer is C.  (Chap. 20) Lupus anticoagulants (Las) cause prolonga- tion of coagulation tests by binding to phospholipids.  Although most often encountered in patients with sys- temic lupus erythematosus, they may also develop in  normal individuals. The diagnosis is first suggested by  prolongation of coagulation tests. Failure to correct  with incubation with normal plasma confirms the pres- ence of a circulating inhibitor. Contrary to the name,  patients with LA activity have normal hemostasis and are  not predisposed to bleeding. Instead, they are at risk for  venous and arterial thromboembolisms. Patients with a  history of recurrent unplanned abortions or thrombosis  should undergo lifelong anticoagulation. The presence  of LAs or anticardiolipin antibodies without a history  of thrombosis may be observed because many of these  patients will not go on to develop a thrombotic event.","

Answer: B. A 1:1 mixing study will correct in the presence of LAs.

Explanation:

Lupus anticoagulants (LAs) are a type of antiphospholipid antibodies (aPL) that can cause hypercoagulability and thrombosis. They are characterized by their ability to prolong coagulation tests, such as the activated partial thromboplastin time (aPTT) and the Russell viper venom time (rVVT).

A 1:1 mixing study is a laboratory test used to differentiate between a true coagulation disorder and a laboratory interference. In this test, the patient's plasma is mixed with normal plasma in equal volumes, and the clotting time is measured. If the clotting time is corrected (shortened) in the presence of normal plasma, it suggests that the prolongation of the coagulation test was due to a laboratory interference, such as a lupus anticoagulant.

However, in the case of LAs, the 1:1 mixing study will not correct the prolongation of the aPTT or rVVT","
B. A 1:1 mixing study will not correct in the presence of LAs.
Explanation:
The statements A, C, D, and E are all true regarding the lupus anticoagulant (LA). However, statement B is false. In the presence of LAs, a 1:1 mixing study will correct the prolonged activated partial thromboplastin time (aPTT) as the normal plasma will contain sufficient phospholipids to correct the effect of the LA on the clotting assay. The false-positive lupus anticoagulant test results are not uncommon, occurring frequently in patients who are on oral anticoagulants. False-negative results may occur if the blood sample was suboptimally centrifuged and the aPTT was not properly measured. The confirmatory assays for LA, such as the platelet neutralization procedure (PNP) and the hexagonal phase phospholipid neutralization test (Staclot LA), demonstrate that upon addition of excess phospholipid, the clotting time becomes corrected.",0,0
54,All the following cause prolongation of the acti- vated partial thromboplastin time that does not  correct with a 1:1 mixture with pooled plasma  EXCEPT: A. Lupus anticoagulant B. Factor VIII inhibitor C. Heparin D. Factor VII inhibitor E. Factor IX inhibitor,"The answer is D.  (Chap. 20) The activated partial thromboplastin time  (aPTT) involves the factors of the intrinsic pathway of  coagulation. Prolongation of the aPTT reflects either a  deficiency of one of these factors (factor VIII, IX, XI,  XII, and so on) or inhibition of the activity of one of the  factors or components of the aPTT assay (i.e., phospho- lipids). This may be further characterized by the â€œmix- ing studyâ€ in which the patientâ€™s plasma is mixed with  pooled plasma. Correction of the aPTT reflects a defi- ciency of factors that are replaced by the pooled sample.  Failure to correct the aPTT reflects the presence of a fac- tor inhibitor or phospholipid inhibitor. Common causes  of a failure to correct include the presence of heparin in  the sample, factor inhibitors (factor VIII inhibitor being  the most common), and the presence of antiphospho- lipid antibodies. Factor VII is involved in the extrinsic  pathway of coagulation. Inhibitors to factor VII would  result in prolongation of the prothrombin time.","

Answer: C. Heparin

Explanation:

Activated partial thromboplastin time (aPTT) is a laboratory test used to assess the intrinsic and common coagulation pathways. Prolongation of aPTT indicates a defect in these pathways.

A. Lupus anticoagulant (LA) is an antibody that interferes with the coagulation process by binding to phospholipids and/or coagulation proteins, leading to prolongation of aPTT.

B. Factor VIII inhibitor is an antibody that inhibits the activity of Factor VIII, which is a cofactor in the coagulation cascade. This results in a prolonged aPTT.

C. Heparin is an anticoagulant that acts by binding to antithrombin III, enhancing its ability to inactivate thrombin and factor Xa. Heparin does not directly affect aPTT but rather prolongs the prothrombin time (PT).

D. Factor VII inhibitor is an antibody that inhibits the activity of Factor VII, which is","
C. Factor VII inhibitor
Explanation: According to the context information, a prolonged activated partial thromboplastin time (aPTT) that does not correct with a 1:1 mixture with pooled plasma indicates the presence of an inhibitor. Factor VII inhibitor is not an exception to this rule, as it can also cause a prolonged aPTT that does not correct with a 1:1 mixture with pooled plasma. However, the context information also mentions that factor VII inhibitor may cause a normal prothrombin time (PT) but a prolonged aPTT. Therefore, the correct answer is A, lupus anticoagulant, which is the only inhibitor that does not cause a prolonged PT.",0,0
55,"You are evaluating a 45-year-old man with an acute  upper gastrointestinal (GI) bleed in the emergency  department. He reports increasing abdominal girth  over the past 3 months associated with fatigue and  anorexia. He has not noticed any lower extremity  edema. His medical history is significant for hemo- philia A diagnosed as a child with recurrent elbow  hemarthroses in the past. He has been receiving infu- sions of factor VIII for most of his life and received  his last injection earlier that day. His blood pressure  is 85/45 mm Hg with a heart rate of 115 beats/ min. His abdominal examination is tense with a  positive fluid wave. Hematocrit is 21%. Renal func- tion and urinalysis results are normal. His activated  partial thromboplastin time is minimally prolonged,  his international normalized ratio is 2.7, and platelets  are normal. Which of the following is most likely  to yield a diagnosis for the cause of his GI bleeding? A. Factor VIII activity level B. Helicobacter pylori antibody test C. Hepatitis B surface antigen D. Hepatitis C RNA E. Mesenteric angiogram","The answer is D.  (Chap. 20) This patient presents with a significant upper  gastrointestinal (GI) bleed with a prolonged prothrom- bin time (PT). Hemophilia should not cause a prolonged  PT. This and the presence of ascites raise the possibility  of liver disease and cirrhosis. The contamination of blood  products in the 1970s and 1980s resulted in widespread  transmission of HIV and hepatitis C virus (HCV) within  the hemophilia population receiving factor infusions.    Review and Self-Assessment 769 It is estimated in 2006, that >80% of hemophilia patients  older than 20 years old are infected with HCV. Viral  inactivation steps were introduced in the 1980s, and  recombinant factor VIII and IX were first produced in  the 1990s. HCV is the major cause of morbidity and  the second leading cause of death in patients exposed  to older factor concentrates. Patients develop cirrhosis  and complications that include ascites and variceal bleed- ing. End-stage liver disease requiring a liver transplant is  curative for the cirrhosis and the hemophilia (the liver  produces factor VIII). Hepatitis B was not transmitted in  significant numbers to patients with hemophilia. Diver- ticular disease or peptic ulcer disease would not explain  the prolonged PT. Patients with inadequately repleted  factor VIII levels are more likely to develop hemarthro- ses than GI bleeds, and the slightly prolonged activated  partial thromboplastin time makes this unlikely.","

Answer: E. Mesenteric angiogram

Explanation:

The patient's history of hemarthroses and the recent administration of factor VIII prior to presentation raises the suspicion of a coagulopathy related to his hemo- philia A. However, his prolonged activated partial thromboplastin time (aPTT) and international normalized ratio (INR) suggest that there is an additional coagulopathy present. The most likely cause of the acute GI bleed in this patient is mesenteric ischemia due to thrombosis, which can occur in patients with hemo- philia A and is associated with the use of factor VIII concentrate. A mesenteric angiogram is the most appropriate diagnostic test to evaluate for mesenteric ischemia. Factor VIII activity level would not be helpful in diagnosing the cause of the GI bleed, as it would only confirm the presence or absence of factor VIII deficiency. Helicobacter pylori antibody test, hepatitis B surface antigen, and hepatitis C RNA are not indicated in this case, as there is no evidence of liver disease or G","
E. Mesenteric angiogram

Explanation:
The patient's history of hemarthroses and the recent factor VIII injection raise the suspicion of a coagulopathy. However, the prolonged activated partial thromboplastin time and international normalized ratio suggest a consumptive coagulopathy, which could be due to various causes such as disseminated intravascular coagulation (DIC), liver disease, or mesenteric ischemia. The normal platelet count and absence of lower extremity edema argue against DIC. The normal renal function and urinalysis results suggest that liver disease is less likely. Therefore, the most likely cause of the patient's GI bleeding is mesenteric ischemia, which can be diagnosed by mesenteric angiography.",0,0
56,"You are managing a patient with suspected dis- seminated intravascular coagulopathy (DIC). The  patient has end-stage liver disease awaiting liver  transplantation and was recently in the intensive  care unit with Escherichia coli bacterial peritonitis.  You suspect DIC based on a new upper gastrointes- tinal bleed in the setting of oozing from venipunc- ture sites. Platelet count is 43,000/Î¼L, international  normalized ratio is 2.5, hemoglobin is 6 mg/dL,  and d-dimer is elevated to 4.5. What is the best  way to distinguish between new-onset DIC and  chronic liver disease? A. Blood culture B. Elevated fibrinogen degradation products C. Prolonged aPTT D. Reduced platelet count E. Serial laboratory analysis  Review and Self-Assessment 737","The answer is E.  (Chap. 20) The differentiation between disseminated  intravascular coagulation (DIC) and severe liver disease  is challenging. Both entities may manifest with similar  laboratory findings, which are elevated fibrinogen deg- radation products, prolonged activated partial thrombo- plastin time and prothrombin time, anemia, and throm- bocytopenia. When suspecting DIC, these tests should  be repeated over a period of 6 to 8 hours because abnor- malities may change dramatically in patients with severe  DIC. In contrast, these test results should not fluctuate  as much in patients with severe liver disease. Bacterial  sepsis with positive blood cultures is a common cause of  DIC but is not diagnostic.","

Answer: E. Serial laboratory analysis

Explanation:

The best way to distinguish between new-onset DIC and chronic liver disease is through serial laboratory analysis. In DIC, there is an activation of the coagulation cascade leading to consumption of coagulation factors, platelets, and fibrinolysis. This results in a consumptive coagulopathy with thrombocytopenia, prolonged aPTT, and elevated fibrin degradation products (d-dimer, fibrinogen degradation products). However, in chronic liver disease, there is a functional impairment of the liver's ability to produce coagulation factors, resulting in a hypocoagulable state with a prolonged aPTT and low fibrinogen levels.

In this case, the patient's thrombocytopenia, elevated d-dimer, and prolonged aPTT suggest DIC. However, it is important to note that these findings can also be present in chronic liver disease. Therefore, serial laboratory analysis is necessary to confirm the diagnosis of DIC. A single laboratory result may not be sufficient to","
E. Serial laboratory analysis

Explanation:
The best way to distinguish between new-onset DIC and chronic liver disease is through serial laboratory analysis. In chronic liver disease, the fibrinogen levels are typically low due to decreased synthesis, whereas in DIC, fibrinogen levels are low due to consumption. Additionally, in DIC, D-dimer levels are elevated due to fibrin degradation, whereas in chronic liver disease, D-dimer levels may be normal or only mildly elevated. Repeating the laboratory tests over time can help differentiate between the two conditions. Other tests, such as blood cultures, may be helpful in ruling out other causes of thrombocytopenia or bleeding, but they do not directly distinguish between DIC and chronic liver disease.",1,1
57,All of the following genetic mutations are associ- ated with an increased risk of deep-vein thrombosis  EXCEPT: A. Factor V Leiden mutation B. Glycoprotein 1b platelet receptor C. Heterozygous protein C deficiency D. Prothrombin 20210G E. Tissue plasminogen activator,"The answer is B.  (Chap. 21) Venous thrombosis occurs through activation  of the coagulation cascade primarily through the expo- sure to tissue factor, and the genetic factors that contrib- ute to a predisposition to venous thrombosis typically  are polymorphisms affecting procoagulant or fibrinolytic  pathways. In contrast, arterial thrombosis occurs in the  setting a platelet activation, and the genetic predisposi- tion for arterial thrombosis includes mutations that affect  platelet receptors or redox enzymes. The most common  inherited risk factors for venous thrombosis are the factor  V Leiden mutation and prothrombin 20210 mutation.  Other mutations predisposing an individual to venous  thrombosis include inherited deficiency of protein C or  S and mutations of fibrinogen, tissue plasminogen activa- tor, thrombomodulin, or plasminogen activator inhibitor.  The glycoprotein 1b platelet receptor mutation would  increase the risk of arterial, but not venous, thrombosis.","

Explanation:

The given genetic mutations are all linked to an increased risk of thrombosis, which is the formation of a blood clot in a blood vessel. However, the mutation D, Prothrombin 20210G, is associated with an increased risk of thrombosis due to an increased production of thrombin, a clotting factor. Therefore, it is incorrect to state that this mutation is the exception when it comes to increased risk of deep-vein thrombosis.

The other mutations listed, Factor V Leiden mutation, Glycoprotein 1b platelet receptor, and Heterozygous protein C deficiency, are all associated with an increased risk of thrombosis due to various mechanisms. Factor V Leiden mutation leads to a reduced ability of activated protein C to inactivate Factor Va and Factor VIIIa, resulting in a hypercoagulable state. Glycoprotein 1b platelet receptor mutations can lead to a hyperreactive platelet response to injury or activation, leading to excessive clotting. Heterozygous protein C","
C. Heterozygous protein C deficiency

Explanation:
The context information indicates that heterozygous protein C deficiency is associated with an increased risk of deep-vein thrombosis. Therefore, option C is incorrect. The other options, Factor V Leiden mutation, Prothrombin 20210G, and Tissue plasminogen activator, are all associated with an increased risk of deep-vein thrombosis as per the context information.",0,0
58,"A 76-year-old man presents to an urgent care clinic  with pain in his left leg for 4 days. He also describes  swelling in his left ankle, which has made it difficult  for him to ambulate. He is an active smoker and  has a medical history remarkable for gastroesopha- geal reflux disease, deep-vein thrombosis (DVT)  9 months ago that resolved, and well-controlled  hypertension. Physical examination is revealing for  2+ edema in his left ankle. A d-dimer is ordered  and is elevated. Which of the following makes  d-dimer less predictive of DVT in this patient? A. Age older than 70 years B. History of active tobacco use C. Lack of suggestive clinical symptoms D. Negative Homanâ€™s sign on examination E. Previous DVT in the past year","The answer is A.  (Chap. 21) d-Dimer is a degradation product of cross- linked fibrin and is elevated in conditions of ongoing  thrombosis. Low concentrations of d-dimer are considered  to indicate the absence of thrombosis. Patients older than  the age of 70 years frequently have elevated d-dimers  in the absence of thrombosis, making this test less pre- dictive of acute disease. Clinical symptoms are often not  present in patients with deep-vein thrombosis (DVT)  and do not affect interpretation of a d-dimer. Tobacco  use, although frequently considered a risk factor for  DVT, and previous DVT should not affect the predic- tive value of d-dimer. Homanâ€™s sign, calf pain elicited by  dorsiflexion of the foot, is not predictive of DVT and is  unrelated to d-dimer.","

Answer: D. Negative Homan's sign on examination

Explanation:

D-dimer is a fibrin degradation product that is released during the process of thrombosis. It is a sensitive but not specific marker for deep vein thrombosis (DVT). In other words, a positive d-dimer test result indicates a high likelihood of DVT, but a negative d-dimer test result does not rule out DVT.

The patient's age, history of tobacco use, and previous DVT increase the likelihood of DVT in this case. However, the absence of a positive Homan's sign (pain or tenderness in the calf upon dorsiflexion of the foot) is a finding that decreases the likelihood of DVT. Homan's sign is a common clinical finding in DVT, but it is not present in all cases. Therefore, a negative Homan's sign does not make d-dimer less predictive of DVT in all cases, but it does make it less predictive in this specific case.","
E. Previous DVT in the past year

Explanation:
The d-dimer test is a sensitive but nonspecific marker for thrombosis. In the context of suspected deep vein thrombosis (DVT), a positive d-dimer test result increases the likelihood of DVT, but a negative result does not exclude it. The predictive value of d-dimer is influenced by various factors, including age, clinical presentation, and other medical conditions. In this case, the patient is a 76-year-old man with a history of DVT within the past year. Previous DVT increases the likelihood of a false-positive d-dimer result due to ongoing thrombosis or residual d-dimer from the previous episode. Therefore, the presence of previous DVT makes d-dimer less predictive of a new DVT in this patient.",0,0
59,"A 22-year-old woman comes to the emergency  department complaining of 12 hours of shortness of  breath. The symptoms began toward the end of a  long car ride home from college. She has no medical  history, and her only medication is an oral contra- ceptive. She smokes occasionally, but the frequency  has increased recently because of examinations. On  physical examination, she is afebrile with respiratory  rate of 22 breaths/min, blood pressure of 120/80  mm Hg, heart rate of 110 beats/min, and oxygen  saturation on room air of 92%. The rest of her phys- ical examination findings are normal. A chest radio- graph and complete blood count are normal. Her  serum pregnancy test result is negative. Which of  the following is the indicated management strategy? A. Check d-dimer and, if normal, discharge with non- steroidal anti-inflammatory therapy. B. Check d-dimer and, if normal, obtain lower extrem- ity ultrasound. C. Check d-dimer and, if abnormal, treat for deep-vein  thrombosis/pulmonary embolism. D. Check d-dimer and, if abnormal, obtain a contrast  multislice computed tomography scan of the chest. E. Obtain a contrast multislice computed tomography  scan of the chest.","The answer is E.  (Chaps. 21 and 22) The clinical probability of pulmonary  embolism (pulmonary embolism) can be delineated into  low to high likelihood using the clinical decision rule  shown in Table 22-1. In those with a score of 3 or less,  pulmonary embolism is low or moderately likely, and a  d-dimer test should be performed. A normal d-dimer  result combined with a low to moderate clinical prob- ability of pulmonary embolism identifies patients who  do not need further testing or anticoagulation therapy.  Those with either a likely clinical probability (score >3)  or an abnormal d-dimer (with unlikely clinical probabil- ity) require an imaging test to rule out pulmonary embo- lism. Currently, the most attractive imaging method to  detect pulmonary embolism is the multislice computed  tomography (CT). It is accurate and, if the result is nor- mal, safely rules out pulmonary embolism. This patient  has a clinical probability score of 4.5 because of her rest- ing tachycardia and the lack of an alternative diagnosis at  least as likely as pulmonary embolism. Therefore, there is  no indication for measuring d-dimer, and she should pro- ceed directly to multislice CT of the chest. If this cannot  be performed expeditiously, she should receive one dose  of low-molecular-weight heparin while awaiting the test.","

Answer: C. Check d-dimer and, if abnormal, treat for deep-vein thrombosis/pulmonary embolism.

Explanation: The patient's symptoms of sudden onset shortness of breath, tachycardia, and decreased oxygen saturation, along with her recent history of increased smoking frequency, make deep vein thrombosis (DVT) and pulmonary embolism (PE) high on the differential diagnosis list. DVT and PE are common thromboembolic conditions that can present with these symptoms. The first step in evaluating this patient should be to assess her risk for DVT/PE using clinical assessment tools such as the Wells score or the revised Geneva score. If the clinical assessment suggests a high probability of DVT/PE, further diagnostic testing should be pursued.

D-dimer is a fibrin degradation product that is released during the process of clot formation and lysis. Elevated levels of d-dimer in the blood can indicate the presence of a thromboembolic event. A negative d-dimer result does not completely rule out DVT/","D. Check d-dimer and, if abnormal, obtain a contrast multislice computed tomography scan of the chest.

Explanation:
The patient's symptoms of shortness of breath, recent travel, and smoking increase her risk for deep vein thrombosis (DVT) and pulmonary embolism (PE). Given her normal chest radiograph and complete blood count, d-dimer testing is a reasonable next step. If the d-dimer result is normal, she can be discharged with close follow-up. However, if the d-dimer result is abnormal, a contrast multislice computed tomography scan of the chest is indicated to evaluate for PE or DVT. The negative serum pregnancy test result rules out pregnancy as a confounding factor.",0,0
60,All of the anticoagulant or antiplatelet drugs listed  are correctly matched with their mechanisms of  action EXCEPT: A. Abciximabâ€”Glycoprotein IIb/IIIa receptor   inhibitor B. Clopidogrelâ€”Adenosine diphosphate receptor  blockade C. Enoxaparinâ€”Direct thrombin inhibition D. Rivaroxabanâ€”Factor Xa inhibition E. Warfarinâ€”Inhibition of production of the vitamin  Kâ€“dependent clotting factors,"The answer is C.  (Chap. 23) In recent years, a variety of new anticoagulant  and antiplatelet drugs have been developed for clinical use.   Platelets play an important role in arterial thrombosis,  particularly in coronary artery and cerebrovascular dis- ease. Aspirin is the most widely used antiplatelet drug  worldwide. Aspirin exerts its effects through inhibition of  cyclooxygenase-1. Other commonly used oral antiplatelet  agents are clopidogrel and dipyridamole. Clopidogrel is in  a class of agents called thienopyridines along with ticlopi- dine. Thienopyridines act to block a specific adenosine  diphosphate receptor (P2Y12) and inhibit platelet aggrega- tion. Dipyridamole inhibits phosphodiesterase to decrease  the breakdown of cyclic adenosine monophosphate  (cAMP) to decrease platelet aggregation. Intravenous  antiplatelet agents have also become increasingly impor- tant in the treatment of acute coronary syndromes. All of  the intravenous agents act to inhibit platelet aggregation  by blocking the glycoprotein (Gp) IIb/IIIa receptor. The   Review and Self-Assessment 770 three agents in clinical use as Gp IIb/IIIa inhibitors are  abciximab, eptifibatide, and tirofiban.  Anticoagulant agents are primarily used for the preven- tion and treatment of venous thrombosis. Many antico- agulants are available and act by a variety of mechanisms.  Heparin has been used for many years but requires frequent  monitoring to be used safely. More recently, low-molec- ular-weight heparins (LMWHs) have been introduced.  These agents are given subcutaneously and generally pre- ferred in many instances over heparin given a more predict- able anticoagulant effect. Both heparin and the LMWHs  are indirect thrombin inhibitors that act primarily through  activation of antithrombin. When activated, antithrombin  inhibits clotting enzymes, especially thrombin and factor  Xa. Fondaparinux is a newer anticoagulant that inhibits  only factor Xa, although it is a synthetic analogue of the  pentasaccharide sequence in heparin that binds antithrom- bin. However, it is too short to bridge antithrombin to  thrombin. The direct thrombin inhibitors bind directly to  thrombin (rather than antithrombin) to exert their activ- ity. The direct thrombin inhibitors include lepirudin, arg- atroban, and bivalirudin. The most commonly used oral  anticoagulant is warfarin, which inhibits the production  of vitamin Kâ€“dependent clotting factors. Given the need  for frequent monitoring and extensive drug interactions,  developing other oral anticoagulants that are safe and effec- tive has been desired for many years. No oral drug has yet  been introduced into the market. However, several are in  the final stages of development. These include two factor  Xa inhibitors (rivaroxaban and apixaban) and one factor IIa  inhibitor (dabigatran etexilate).","

Answer: A. Abciximab—Glycoprotein IIb/IIIa receptor inhibitor

Explanation:
Abciximab is an antiplatelet medication that works by binding to the glycoprotein IIb/IIIa receptor on the surface of platelets, preventing them from forming clots by inhibiting the final common pathway of platelet aggregation. It is not a direct thrombin inhibitor or a factor Xa inhibitor. Enoxaparin and Rivaroxaban are low molecular weight heparin and a direct oral factor Xa inhibitor, respectively. Clopidogrel is a prodrug that is metabolized to an active metabolite that irreversibly inhibits the ADP receptor on platelets, preventing them from aggregating. Warfarin is an oral anticoagulant that inhibits the production of vitamin K-dependent clotting factors.","
B. Clopidogrel—Adenosine diphosphate receptor blockade

Explanation:
Clopidogrel is not a direct adenosine diphosphate (ADP) receptor blocker. Instead, it is an irreversible inhibitor of the platelet P2Y12 adenosine diphosphate receptor. This means that it prevents the P2Y12 receptor from binding to ADP, which is necessary for platelet aggregation. The active metabolite of clopidogrel, R-clopidogrel, irreversibly binds to the P2Y12 receptor and inhibits its function. This results in reduced platelet aggregation and a decreased risk of thrombotic events.

Therefore, the correct answer is B, and the statement ""Clopidogrel—Adenosine diphosphate receptor blockade"" is incorrect.",0,0
61,"A 66-year-old woman is prescribed clopidogrel  and aspirin after implantation of a bare metal stent  in her right coronary artery. Two weeks after the  procedure, the woman presents to the emergency  department with acute-onset chest pain and elec- trocardiographic changes consistent with an acute  inferior myocardial infarction. Emergent cardiac  catheterization confirms in-stent restenosis. The  patient insists she has been adherent to her pre- scribed therapy. Which of the following state- ments most correctly described the most likely  cause of the patientâ€™s restenosis despite her current  therapy? A. She likely has aspirin resistance and should be treated  with higher doses of aspirin to prevent a recurrence. B. She likely has clopidogrel resistance caused by a  genetic polymorphism of the CYP pathway. C. She should have been treated with low-molecular- weight heparin to prevent this complication. D. She should have been treated with warfarin to pre- vent this complication. E. Because she has demonstrated resistance to clopido- grel, switching to prasugrel would not be useful to  prevent further complications.","The answer is B.  (Chap. 23) After implantation of a bare metal coronary  artery stent, aspirin and clopidogrel are recommended  for at least 4 weeks to decrease the risk of in-stent reste- nosis. This patient, however, developed the complica- tion despite adherence to her therapy. This generally  suggests resistance to clopidogrel with a decreased ability  of clopidogrel to inhibit platelet aggregation. There is  a known genetic component to clopidogrel resistance  related to specific genetic polymorphisms of the CYP  isoenzymes. Up to 25% of whites, 30% of African Amer- icans, and 50% of Asians may carry an allele that renders  them resistant to clopidogrel. These polymorphisms are  less important in the activation of prasugrel. Thus, in  individuals who have evidence of clopidogrel resistance,  switching to prasugrel should be considered.  Aspirin resistance is a more controversial subject. It  is defined simply in clinical terms as failure of aspirin to  prevent ischemic vascular events. Biochemically, aspirin  resistance can be defined by failure of usual doses of the  drug to produce inhibitory effects on platelet function.  However, resistance to aspirin is not reversed by higher  doses of aspirin or adding another antiplatelet agent.  Because the primary mechanism of arterial thrombosis  is platelet aggregation, the anticoagulant agents warfarin  and low-molecular-weight heparin are not indicated.","

Answer: B. She likely has clopidogrel resistance caused by a genetic polymorphism of the CYP pathway.

Explanation:

The patient's presentation of acute-onset chest pain and electrocardiographic changes consistent with an acute inferior myocardial infarction, despite being on dual antiplatelet therapy (clopidogrel and aspirin) after a stent implantation, suggests in-stent restenosis. The most likely cause of this complication in this scenario is clopidogrel resistance, which is caused by genetic polymorphisms in the CYP2C19 gene. This gene encodes an enzyme that metabolizes clopidogrel in the liver, and certain genetic variants can result in reduced clopidogrel metabolism and decreased platelet inhibition. Therefore, option B is the most correct answer.

Aspirin resistance is not a likely cause of the patient's restenosis, as aspirin is not a platelet inhibitor but rather an anti-inflammatory agent that acts by irreversibly inhibiting cyclooxygenase.","
B. She likely has clopidogrel resistance caused by a genetic polymorphism of the CYP pathway.

Explanation:
The context information indicates that the patient is taking clopidogrel and aspirin after a bare metal stent implantation in her right coronary artery. However, she experiences an acute inferior myocardial infarction due to in-stent restenosis despite her adherence to her prescribed therapy. Clopidogrel resistance, which is caused by genetic polymorphisms in the CYP2C19 pathway, can lead to decreased clopidogrel metabolism and a decreased antiplatelet effect. This resistance may explain the patient's restenosis despite her current therapy. Therefore, option B is the most likely answer.

Option A is incorrect because aspirin resistance is not a cause of restenosis in this context. Option C is incorrect because low-molecular-weight heparin is not typically used to prevent restenosis after stent implantation. Option D is incorrect because warfarin is an oral anticoagulant and not an antiplatelet agent",1,1
