,Questions,Answers,chatGpt3.5,AnswersWithRag
21,"A 22-year-old pregnant woman of northern Euro- pean descent presents 3 months into her first preg- nancy with extreme fatigue, pallor, and icterus. She  reports being previously healthy. On evaluation,  her hemoglobin is 8 g/dL with a normal mean cor- puscular volume and an elevated mean corpuscu- lar hemoglobin concentration, reticulocyte count  of 9%, and indirect bilirubin of 4.9 mg/dL; serum  haptoglobin is not detectable. Her peripheral smear  is shown in Figure 23. Her physical examination  is notable for splenomegaly and a normal 3-month  uterus. What is the most likely diagnosis?  A. Colonic polyp B. G6PD deficiency C. Hereditary spherocytosis D. Parvovirus B19 infection E. Thrombotic thrombocytopenic purpura","The answer is C.  (Chap. 10) The peripheral blood smear shows micro- spherocytes, small densely staining red blood cells  (RBCs) that have lost their central pallor characteris- tic of hereditary spherocytosis. Spherocytosis is almost  the only condition with an increased mean corpuscular  hemoglobin concentration. Hereditary spherocytosis is a  heterogeneous RBC membranopathy that can be either  congenital (usually autosomal dominant) or acquired; it  is characterized by predominantly extravascular hemo- lysis in the spleen caused by defects in membrane struc- tural proteins. This spleen-mediated hemolysis leads to  the conversion of classic biconcave RBCs on smear to  spherocytes. Splenomegaly is common. This disorder  can be severe, depending on the site of mutation, but  is often overlooked until some stressor such as preg- nancy leads to a multifactorial anemia, or an infection  such as parvovirus B19 transiently eliminates RBC pro- duction altogether. Acute treatment is with transfusion.  Glucose-6-phosphate dehydrogenase (G6PD) deficiency  is a cause of hemolysis that is usually triggered by the  presence of an offending oxidative agent. The peripheral  blood smear may show Heinz bodies. Parvovirus infec- tion may cause a pure RBC aplasia. The presence of  active reticulocytosis and laboratory findings consistent   Review and Self-Assessment 758 with hemolysis are not compatible with that diagnosis.  Chronic gastrointestinal blood loss, such as caused by a  colonic polyp, would cause a microcytic, hypochromic  anemia without evidence of hemolysis (indirect biliru- bin, haptoglobin abnormalities).","C. Hereditary spherocytosis

The peripheral smear showing spherocytes is characteristic of hereditary spherocytosis, a genetic disorder that results in the production of red blood cells that are spherical in shape rather than the normal biconcave disc shape. This can lead to hemolysis, resulting in symptoms such as fatigue, pallor, and icterus. The presence of splenomegaly is also common in hereditary spherocytosis. Other laboratory findings, such as an elevated mean corpuscular hemoglobin concentration and a reticulocyte count, are also consistent with hemolysis.",C. Hereditary spherocytosis
22,"The triad of portal vein thrombosis, hemolysis,  and pancytopenia suggests which of the following   diagnoses? A. Acute promyelocytic leukemia B. Hemolytic uremic syndrome (HUS) C. Leptospirosis D. Paroxysmal nocturnal hemoglobinuria (PNH) E. Thrombotic thrombocytopenic purpura (TTP) FIGURE 23 FIGURE 20  Review and Self-Assessment 730","The answer is D. (Chap. 10) Each of the listed diagnoses has a rather char- acteristic set of laboratory findings that are virtually diag- nostic for the disease once the disease has progressed to a  severe stage. The combination of portal vein thrombo- sis, hemolysis, and pancytopenia is typical for paroxysmal  nocturnal hemoglobinuria (PNH). PNH is a rare disor- der characterized by hemolytic anemia (particularly at  night), venous thrombosis, and deficient hematopoiesis.  It is a stem cellâ€“derived intracorpuscular defect. Ane- mia is usually moderate in severity, and there is often  concomitant granulocytopenia and thrombocytopenia.  Venous thrombosis occurs much more commonly than  in the population at large. The intraabdominal veins are  often involved, and patients may present with Budd- Chiari syndrome. Cerebral sinus thrombosis is a com- mon cause of death in patients with PNH. The presence  of pancytopenia and hemolysis should raise suspicion for  this diagnosis even before the development of a venous  thrombosis. In the past, PNH was diagnosed by abnor- malities on the Ham or sucrose lysis test; however, cur- rently flow cytometry analysis of glycosylphosphati- dylinositol (GPI) linked proteins (e.g., CD55 and CD59)  on red blood cells and granulocytes is recommended.  Hemolytic uremic syndrome (HUS) and thrombotic  thrombocytopenic purpura (TTP) both cause hemolysis  and thrombocytopenia, as well as fevers. Cerebrovascu- lar events and mental status change occur more com- monly in TTP, and renal failure is more common in  HUS. Severe leptospirosis, or Weilâ€™s disease, is notable  for fevers, hyperbilirubinemia, and renal failure. Con- junctival suffusion is another helpful clue. Acute promy- elocytic leukemia is notable for anemia, thrombocytope- nia, and either elevated or a decreased white blood cell  count, all in the presence of disseminated intravascular  coagulation.",D. Paroxysmal nocturnal hemoglobinuria (PNH),D. Paroxysmal nocturnal hemoglobinuria (PNH)
23,All of the following laboratory values are consistent  with an intravascular hemolytic anemia EXCEPT: A. Increased haptoglobin B. Increased lactate dehydrogenase (LDH) C. Increased reticulocyte count D. Increased unconjugated bilirubin E. Increased urine hemosiderin,"The answer is A.  (Chap. 10) Haptoglobin is an Î±-globulin normally pres- ent in serum. It binds specifically to the globin portion of  hemoglobin, and the complex is cleared by the mono- nuclear cell phagocytosis. Haptoglobin is reduced in all  hemolytic anemias because it binds free hemoglobin. It  can also be reduced in cirrhosis and so is not diagnostic of  hemolysis outside of the correct clinical context. Assum- ing normal bone marrow and iron stores, the reticulo- cyte count will be elevated as well to try to compensate  for the increased red blood cell (RBC) destruction of  hemolysis. Release of intracellular contents from the  RBC (including hemoglobin and lactate dehydrogenase)  induces heme metabolism, producing unconjugated bili- rubinemia. If the haptoglobin system is overwhelmed,  the kidney will filter free hemoglobin and reabsorb it in  the proximal tubule for storage of iron by ferritin and  hemosiderin. Hemosiderin in the urine is a marker of fil- tered hemoglobin by the kidneys. In massive hemolysis,  free hemoglobin may be excreted in urine.","A. Increased haptoglobin

Haptoglobin is a protein that binds free hemoglobin in the blood and helps prevent its loss through the kidneys. In intravascular hemolytic anemia, there is an increased breakdown of red blood cells, leading to an increase in free hemoglobin in the blood. This would result in decreased haptoglobin levels, not increased levels.",A. Increased haptoglobin
24,Which of the following hemolytic anemias can be  classified as extracorpuscular? A. Elliptocytosis B. Paroxysmal nocturnal hemoglobinuria C. Pyruvate kinase deficiency D. Sickle cell anemia E. Thrombotic thrombocytopenic purpura,"The answer is E.  (Chap. 10) Hemolytic anemias may be classified as intra- corpuscular or extracorpuscular. In intracorpuscular  disorders, the patientâ€™s red blood cells (RBCs) have an  abnormally short life span because of an intrinsic RBC  factor. In extracorpuscular disorders, the RBC has a  short life span because of a nonintrinsic RBC factor.  Thrombotic thrombocytopenic purpura (TTP) is an  acquired disorder in which red blood cell and platelet  destruction occur not because of defects of these cell  lines but rather as a result of microangiopathy leading  to destructive shear forces on the cells. Other clinical  signs and symptoms include fever; mental status change;  and, less commonly, renal impairment. Most acquired  adult cases of TTP are associated with autoantibodies to  ADAMTS-13 (or von Willebrand factorâ€“cleaving pro- tease). All cases of hemolysis in conjunction with throm- bocytopenia should be rapidly ruled out for TTP by  evaluation of a peripheral smear for schistocytes because  plasmapheresis is lifesaving. Other causes of extravascular  hemolytic anemia include hypersplenism, autoimmune  hemolytic anemia, disseminated intravascular coagula- tion, and other microangiopathic hemolytic anemias.  The other four disorders listed in the question all refer  to some defect of the RBC itself that leads to hemo- lysis. Elliptocytosis is a membranopathy that leads to   varying degrees of destruction of the RBC in the reticu- loendothelial system. Sickle cell anemia is a congenital  hemoglobinopathy classified by recurrent pain crises and  numerous long-term sequelae that is caused by a well- defined Î²-globin mutation. Pyruvate kinase deficiency  is a rare disorder of the glycolytic pathway that causes  hemolytic anemia. Paroxysmal nocturnal hemoglobin- uria (PNH) is a form of acquired hemolysis caused by an  intrinsic abnormality of the RBCs. It also often causes  thrombosis and cytopenias. Bone marrow failure is a  feared association with PNH.",A. Elliptocytosis,B. Paroxysmal nocturnal hemoglobinuria
25,"A 34-year-old woman with a medical history of sickle  cell anemia presents with a 5-day history of fatigue,  lethargy, and shortness of breath. She denies chest  pain and bone pain. She has had no recent travel. Of  note, the patientâ€™s 4-year-old daughter had a â€œcoldâ€_x009d_  2 weeks before the presentation. On examination,  the woman has pale conjunctiva, is anicteric, and is  mildly tachycardic. Abdominal examination is unre- markable. Laboratory studies show a hemoglobin of  3 g/dL; her baseline is 8 g/dL. The white blood cell  count and platelets are normal. Reticulocyte count  is undetectable. Total bilirubin is 1.4 mg/dL. Lactic  dehydrogenase is at the upper limits of the normal  range. Peripheral blood smear shows a few sickled  cells but a total absence of reticulocytes. The patient  is given a transfusion of 2 units of packed red blood  cells and admitted to the hospital. A bone marrow  biopsy shows a normal myeloid series but an absence  of erythroid precursors. Cytogenetics are normal.  What is the most appropriate next management step? A. Make arrangements for exchange transfusion. B. Tissue type her siblings for a possible bone marrow  transplant. C. Check parvovirus titers. D. Start prednisone and cyclosporine. E. Start broad-spectrum antibiotics.","The answer is C.  (Chap. 11) Pure red blood cell aplasia (PRCA) is a con- dition characterized by the absence of reticulocytes and  erythroid precursors. A variety of conditions may cause  PRCA. It may be idiopathic. It may be associated with  certain medications, such as trimethoprimâ€“sulfamethox- azole (TMP-SMX) and phenytoin. It can be associated  with a variety of neoplasms, either as a precursor to a  hematologic malignancy such as leukemia or myelo- dysplasia or as part of an autoimmune phenomenon,   Review and Self-Assessment 759 as in the case of thymoma. Infections also may cause  PRCA. Parvovirus B19 is a single-strand DNA virus that  is associated with erythema infectiosum, or fifth disease  in children. It is also associated with arthropathy and a  flulike illness in adults. It is thought to attack the P anti- gen on proerythroblasts directly. Patients with a chronic  hemolytic anemia, such as sickle cell disease, or with an  immunodeficiency are less able to tolerate a transient  drop in reticulocytes because their red blood cells do not  survive in the peripheral blood for an adequate period.  In this patient, her daughter had an illness before the  appearance of her symptoms. It is reasonable to check  her parvovirus immunoglobulin M (IgM) titers. If the  results are positive, a dose of intravenous Ig is indicated.  Because her laboratory test results and smear are not  suggestive of dramatic sickling, an exchange transfusion  is not indicated. Immunosuppression with prednisone,  cyclosporine, or both may be indicated if another etiol- ogy of the PRCA is identified. However, that would  not be the next step. Similarly, a bone marrow trans- plant might be a consideration in a young patient with  myelodysplasia or leukemia, but there is no evidence of  that at this time. Antibiotics have no role in light of her  normal white blood cell count and the lack of evidence  for a bacterial infection.","D. Start prednisone and cyclosporine.

This patient is presenting with a severe hemolytic crisis in the setting of sickle cell anemia. The absence of reticulocytes on peripheral blood smear and bone marrow biopsy suggests a bone marrow suppression crisis, likely due to parvovirus B19 infection. Treatment with prednisone and cyclosporine can help to suppress the immune response and allow for recovery of the bone marrow. Exchange transfusion is not indicated in this case, as the patient has already received a transfusion of packed red blood cells. Tissue typing for a bone marrow transplant would not be appropriate at this time. Broad-spectrum antibiotics would not be indicated unless there is evidence of infection.",The most appropriate next management step would be D. Start prednisone and cyclosporine.
26,Aplastic anemia has been associated with all of the  following EXCEPT: A. Carbamazepine therapy B. Methimazole therapy C. Nonsteroidal anti-inflammatory drugs D. Parvovirus B19 infection E. Seronegative hepatitis,"The answer is D.  (Chap. 11) Aplastic anemia is defined as pancytopenia  with bone marrow hypocellularity. Aplastic anemia  may be acquired, iatrogenic (chemotherapy), or genetic  (e.g., Fanconiâ€™s anemia). Acquired aplastic anemia may  be caused by drugs or chemicals (expected toxicity or  idiosyncratic effects), viral infections, immune diseases,   paroxysmal nocturnal hemoglobinuria, pregnancy, or  idiopathic causes. Aplastic anemia from idiosyncratic  drug reactions (including those listed as well others,  including as quinacrine, phenytoin, sulfonamides, or  cimetidine) are uncommon but may be encountered  given the wide usage of some of these agents. In these  cases, there is usually not a dose-dependent response;  the reaction is idiosyncratic. Seronegative hepatitis is a  cause of aplastic anemia, particularly in young men who  recovered from an episode of liver inflammation 1 to  2 months earlier. Parvovirus B19 infection most com- monly causes pure red blood cell (RBC) aplasia, particu- larly in patients with chronic hemolytic states and high  RBC turnover (e.g., sickle cell anemia).","E. Seronegative hepatitis

Aplastic anemia has not been associated with seronegative hepatitis.",A. Carbamazepine therapy
27,"A 23-year-old man presents with diffuse bruising.  He otherwise feels well. He takes no medications,  does not use dietary supplements and does not use  illicit drugs. His medical history is negative for any  prior illnesses. He is a college student and works  as a barista in a coffee shop. A blood count reveals  an absolute neutrophil count of 780/Î¼L, hemato- crit of 18%, and platelet count of 21,000/Î¼L. Bone  marrow biopsy reveals hypocellularity with a fatty  marrow. Chromosome studies of peripheral blood  and bone marrow cells are performed that exclude  Fanconiâ€™s anemia and myelodysplastic syndrome.  The patient has a fully histocompatible brother.  Which of the following is the best therapy? A. Antithymocyte globulin plus cyclosporine B. Glucocorticoids C. Growth factors D. Hematopoietic stem cell transplant E. Red blood cell and platelet transfusion","The answer is D.  (Chap. 11) This patient has aplastic anemia. In the absence  of drugs or toxins that cause bone marrow suppression,  it is most likely that he has an immune-mediated injury.  Growth factors are not effective in the setting of hypoplas- tic bone marrow. Transfusion should be avoided unless  emergently needed to prevent the development of allo- antibodies. Glucocorticoids have no efficacy in aplastic  anemia. Immunosuppression with antithymocyte globulin  and cyclosporine is a therapy with proven efficacy for this  autoimmune disease with a response rate of up to 70%.  Relapses are common, and myelodysplastic syndrome  or leukemia may occur in approximately 15% of treated  patients. Immunosuppression is the treatment of choice  for patients without suitable bone marrow transplant  donors. Bone marrow transplantation is the best current  therapy for young patients with matched sibling donors.  Allogeneic bone marrow transplants from matched sib- lings result in long-term survival in more than 80% of  patients, with better results in children than adults. The  effectiveness of androgens has not been verified in con- trolled trials, but occasional patients will respond or even  demonstrate blood count dependence on continued ther- apy. Sex hormones upregulate telomerase gene activity in  vitro, possibly also their mechanism of action in improv- ing marrow function. For patients with moderate disease  or those with severe pancytopenia in whom immunosup- pression has failed, a 3 to 4-month trial is appropriate.","D. Hematopoietic stem cell transplant

Given the patient's severe pancytopenia and hypocellular bone marrow, the best therapy would be a hematopoietic stem cell transplant. This would provide the patient with healthy stem cells to restore normal blood cell production. Since the patient has a fully histocompatible brother, this would be an ideal option for treatment.",D. Hematopoietic stem cell transplant
28,"A 73-year-old man has complained of fatigue and  worsening dyspnea on exertion for the past 2 to  3 months. His medical history is only notable for  hypertension and hypercholesterolemia. He is an  active golfer who notes that lately he has difficulty  walking 18 holes. His handicap has increased by   5 strokes over this time period. Physical examina- tion reveals normal vital signs and is unremarkable  except for pallor. His laboratory examination is  remarkable for a hematocrit of 25% with a plate- let count of 185,000/Î¼L and low normal white  cell count. There are no circulating blasts. These  abnormalities were not present 1 year ago. Bone  marrow reveals a hypercellular marrow with fewer  than 5% blasts and the 5q-cytogenetic abnormal- ity. All of the following statements regarding this  patientâ€™s condition are true EXCEPT: A. He has myelofibrosis. B. He is most likely to die as a result of leukemic trans- formation. C. His median survival is >12 months. D. Lenalidomide is effective in reversing the anemia. E. Only stem cell transplantation offers a cure.","The answer is B.  (Chap. 11) Myelodysplasia, or the MDSs, are a hetero- geneous group of hematologic disorders broadly charac- terized by cytopenias associated with a dysmorphic (or  abnormal appearing) and usually cellular bone marrow  and by consequent ineffective blood cell production.  The mean onset of age is after 70 years. MDS is associ- ated with environmental exposures such as radiation and  benzene; other risk factors have been reported inconsis- tently. Secondary MDS occurs as a late toxicity of can- cer treatment, usually with a combination of radiation  and the radiomimetic alkylating agents such as busul- fan, nitrosourea, or procarbazine (with a latent period  of 5â€“7 years) or the DNA topoisomerase inhibitors   (2 years). Both acquired aplastic anemia after immuno- suppressive treatment and Fanconiâ€™s anemia can evolve  into MDS. MDS is a clonal hematopoietic stem cell dis- order leading to impaired cell proliferation and differen- tiation. Cytogenetic abnormalities are found in approxi- mately half of patients, and some of the same specific  lesions are also seen in frank leukemia. Anemia dominates  the early course. Most symptomatic patients complain  of the gradual onset of fatigue and weakness, dyspnea,  and pallor, but at least half of patients are asymptomatic,  and their MDS is discovered only incidentally on routine  blood counts. Previous chemotherapy or radiation expo- sure is an important historic fact. Fever and weight loss  should point to a myeloproliferative rather than myelo- dysplastic process. About 20% of patients have spleno- megaly. Bone marrow is typically hypercellular. Median  survival varies from months to years, depending on the  number of blasts in marrow and the specific cytogenetic  abnormality. Isolated 5q- is associated with a median  survival in years. Most patients die as a result of com- plications of pancytopenia and not because of leukemic    Review and Self-Assessment 760 transformation; perhaps one-third succumb to other dis- eases unrelated to their MDS. Precipitous worsening of  pancytopenia, acquisition of new chromosomal abnor- malities on serial cytogenetic determination, increase in  the number of blasts, and marrow fibrosis are all poor  prognostic indicators. The outlook in therapy-related  MDS, regardless of type, is extremely poor, and most  patients progress within a few months to refractory acute  myeloid leukemia. Historically, the therapy of MDS has  been unsatisfactory. Only stem cell transplantation offers  cure. Survival rates of 50% at 3 years have been reported,  but older patients are particularly prone to develop treat- ment-related mortality and morbidity. Results of trans- plant using matched unrelated donors are comparable,  although most series contain younger and more highly  selected cases. However, multiple new drugs have been  approved for use in MDS. Several regimens appear to  not only improve blood counts but also to delay onset of  leukemia and to improve survival.  Lenalidomide, a thalidomide derivative with a more  favorable toxicity profile, is particularly effective in  reversing anemia in MDS patients with 5q- syndrome;  a high proportion of these patients become transfusion  independent.","B. He is most likely to die as a result of leukemic transformation.

This statement is not true. Patients with myelodysplastic syndrome with the 5q-cytogenetic abnormality have a relatively good prognosis compared to other subtypes of myelodysplastic syndrome. Leukemic transformation is less common in these patients compared to other subtypes.",D. Lenalidomide is effective in reversing the anemia.
29,All of the following are considered myeloprolif- erative disorders in the WHO classification system  EXCEPT: A. Chronic myeloid leukemia (bcr-abl positive) B. Essential thrombocytosis C. Mastocytosis D. Polycythemia vera E. Primary effusion lymphoma  Review and Self-Assessment 731,"The answer is E.  (Chap. 13) The World Health Organizationâ€™s classifica- tion of the chronic myeloproliferative diseases (MPDs)  includes eight disorders, some of which are rare or  poorly characterized but all of which share an origin in a  multipotent hematopoietic progenitor cell, overproduc- tion of one or more of the formed elements of the blood  without significant dysplasia, a predilection to extramed- ullary hematopoiesis or myelofibrosis, and transforma- tion at varying rates to acute leukemia. Within this broad  classification, however, significant phenotypic hetero- geneity exists. Some diseases such as chronic myeloid  leukemia (CML), chronic neutrophilic leukemia (CNL),  and chronic eosinophilic leukemia (CEL) express pri- marily a myeloid phenotype, but in others, such as poly- cythemia vera (PV), primary myelofibrosis (PMF), and  essential thrombocytosis (ET), erythroid or megakaryo- cytic hyperplasia predominates. The latter three disor- ders, in contrast to the former three, also appear capable  of transforming into each other. Such phenotypic het- erogeneity has a genetic basis. CML is the consequence  of the balanced translocation between chromosomes   9 and 22 (t[9;22][q34;11]), CNL has been associated with  a t(15;19) translocation, and CEL occurs with a deletion  or balanced translocations involving the PDGFR-alpha  gene. By contrast, to a greater or lesser extent, PV, PMF,  and ET are characterized by expression of a JAK2 muta- tion, V617F, that causes constitutive activation of this  tyrosine kinase that is essential for the function of the  erythropoietin and thrombopoietin receptors but not  the granulocyte colony-stimulating factor receptor. This  essential distinction is also reflected in the natural history  of CML, CNL, and CEL, which is usually measured in  years, and their high rate of transformation into acute  leukemia. By contrast, the natural history of PV, PMF,  and ET is usually measured in decades, and transforma- tion to acute leukemia is uncommon in the absence of  exposure to mutagenic agents. Primary effusion lym- phoma is not a myeloproliferative disease. It is one of  the diseases (Kaposiâ€™s sarcoma, multicentric Castlemanâ€™s  disease) associated with infection with human herpes  virus-8, particularly in immunocompromised hosts.","E. Primary effusion lymphoma

Primary effusion lymphoma is a type of non-Hodgkin lymphoma and is not considered a myeloproliferative disorder in the WHO classification system.",E. Primary effusion lymphoma
30,Which of the following statements regarding poly- cythemia vera is correct? A. An elevated plasma erythropoietin level excludes the  diagnosis. B. Transformation to acute leukemia is common. C. Thrombocytosis correlates strongly with thrombotic  risk. D. Aspirin should be prescribed to all of these patients  to reduce thrombotic risk. E. Phlebotomy is used only after hydroxyurea and  interferon have been tried.,"The answer is A.  (Chap. 13) Polycythemia vera (PV) is a clonal disorder  that involves a multipotent hematopoietic progenitor  cell. Clinically, it is characterized by a proliferation of  red blood cells (RBCs), granulocytes, and platelets. The  precise etiology is unknown. Unlike chronic myeloid  leukemia, no consistent cytogenetic abnormality has  been associated with the disorder. However, a muta- tion in the autoinhibitory, pseudokinase domain of the  tyrosine kinase JAK2â€”that replaces valine with phenyl- alanine (V617F), causing constitutive activation of the  kinaseâ€”appears to have a central role in the pathogen- esis of PV. Erythropoiesis is regulated by the hormone  erythropoietin. Hypoxia is the physiologic stimulus that  increases the number of cells that produce erythropoi- etin. Erythropoietin may be elevated in patients with  hormone-secreting tumors. Levels are usually â€œnormalâ€_x009d_  in patients with hypoxic erythrocytosis. In PV, how- ever, because erythrocytosis occurs independently of  erythropoietin, levels of the hormone are usually low.  Therefore, an elevated level is not consistent with the  diagnosis. PV is a chronic, indolent disease with a low  rate of transformation to acute leukemia, especially in  the absence of treatment with radiation or hydroxy- urea. Thrombotic complications are the main risk for  PV and correlate with the erythrocytosis. Thrombocy- tosis, although sometimes prominent, does not correlate  with the risk of thrombotic complications. Salicylates are  useful in treating erythromelalgia but are not indicated  in asymptomatic patients. There is no evidence that  thrombotic risk is significantly lowered with their use in  patients whose hematocrits are appropriately controlled  with phlebotomy. Phlebotomy is the mainstay of treat- ment. Induction of a state of iron deficiency is critical to  prevent a reexpansion of the RBC mass. Chemothera- peutics and other agents are useful in cases of symptom- atic splenomegaly. Their use is limited by side effects,  and there is a risk of leukemogenesis with hydroxyurea.",C. Thrombocytosis correlates strongly with thrombotic risk.,C. Thrombocytosis correlates strongly with thrombotic risk.
31,"A 68-year-old man seeks evaluation for fatigue, weight  loss, and early satiety that have been present for about 4  months. On physical examination, his spleen is noted  to be markedly enlarged. It is firm to touch and crosses  the midline. The lower edge of the spleen reaches to  the pelvis. His hemoglobin is 11.1 g/dL and hema- tocrit is 33.7%. The leukocyte count is 6200/Î¼L and  platelet count is 220,000/Î¼L. The white cell count  differential is 75% polymorphonuclear leukocytes, 8%  myelocytes, 4% metamyelocytes, 8% lymphocytes,  3% monocytes, and 2% eosinophils. The peripheral  blood smear shows teardrop cells, nucleated red blood  cells, and immature granulocytes. Rheumatoid factor  is positive. A bone marrow biopsy is attempted, but  no cells are able to be aspirated. No evidence of leu- kemia or lymphoma is found. What is the most likely  cause of the splenomegaly? A. Chronic primary myelofibrosis B. Chronic myeloid leukemia C. Rheumatoid arthritis D. Systemic lupus erythematosus E. Tuberculosis","The answer is A.  (Chap. 13) Chronic primary myelofibrosis (PMF) is the  least common myeloproliferative disorder and is considered   Review and Self-Assessment 761 a diagnosis of exclusion after other causes of myelofi- brosis have been ruled out. The typical patient with PMF  presents in the sixth decade of life, and the disorder is  asymptomatic in many patients. Fevers, fatigue, night  sweats, and weight loss may occur in PMF, but these  symptoms are rare in other myeloproliferative disorders.  However, no signs or symptoms are specific for the diag- nosis of PMF. Often marked splenomegaly is present and  may extend across the midline and to the pelvic brim. A  peripheral blood smear demonstrates the typical findings  of myelofibrosis, including teardrop-shaped red blood  cells (RBCs), nucleated RBCs, myelocytes, and metamy- elocytes that are indicative of extramedullary hematopoi- esis. Anemia is usually mild, and platelet and leukocyte  counts are often normal. About 50% of patients with  PMF have the JAK2 V617F mutation. Bone marrow  aspirate is frequently unsuccessful because the extent  of marrow fibrosis makes aspiration impossible. When  a bone marrow biopsy is performed, it demonstrates  hypercellular marrow with trilineage hyperplasia and  increased number of megakaryocytes with large dysplas- tic nuclei. Interestingly, individuals with PMF often have  associated autoantibodies, including rheumatoid factor,  antinuclear antibodies, or positive Coombs test results.  To diagnose someone as having PMF, it must be shown  that he or she does not have another myeloproliferative  disorder or hematologic malignancy that is the cause of  myelofibrosis. The most common disorders that present  in a similar fashion to PMF are polycythemia vera and  chronic myeloid leukemia. Other nonmalignant disor- ders that can cause myelofibrosis include HIV infection,  hyperparathyroidism, renal osteodystrophy, systemic  lupus erythematosus, tuberculosis, and bone marrow  replacement in other cancers such as prostate and breast  cancer. In the patient described here, there is no other  identifiable cause of myelofibrosis; thus, chronic PMF  can be diagnosed.","A. Chronic primary myelofibrosis

The presence of teardrop cells, nucleated red blood cells, and immature granulocytes on the peripheral blood smear, along with an enlarged spleen and inability to aspirate bone marrow cells, are all consistent with chronic primary myelofibrosis. This condition is characterized by abnormal production of blood cells in the bone marrow, leading to fibrosis and enlargement of the spleen. Other symptoms can include fatigue, weight loss, and early satiety. The positive rheumatoid factor may be a secondary finding in this case.",A. Chronic primary myelofibrosis
32,"A 50-year-old woman presents to your clinic for  evaluation of an elevated platelet count. The latest  complete blood count is white blood cells (WBC),  7000/Î¼L; hematocrit, 34%; and platelets, 600,000/ Î¼L. All the following are common causes of throm- bocytosis EXCEPT: A. Iron-deficiency anemia B. Essential thrombocytosis C. Chronic myeloid leukemia D. Myelodysplasia E. Pernicious anemia","The answer is E. (Chap. 13) Thrombocytosis may be â€œprimaryâ€_x009d_ or â€œsec- ondary.â€_x009d_ Essential thrombocytosis is a myeloproliferative  disorder that involves a multipotent hematopoietic pro- genitor cell. Unfortunately, no clonal marker can  reliably  distinguish it from more common nonclonal, reactive  forms of thrombocytosis. Only 50% of patients with  essential (primary) thrombocytosis have the JAK2 V617F  mutation. Therefore, the diagnosis is one of exclusion.  Common causes of secondary thrombocytosis include  infection, inflammatory conditions, malignancy, iron  deficiency, hemorrhage, and postsurgical states. Other  myeloproliferative disorders, such as chronic myeloid  leukemia and myelofibrosis, may result in thrombocy- tosis. Similarly, myelodysplastic syndromes, particularly  the 5q-syndrome, may cause thrombocytosis. Perni- cious anemia caused by vitamin B12 deficiency does not  typically cause thrombocytosis. However, correc- tion of vitamin B12 deficiency or folate deficiency may  cause a â€œreboundâ€_x009d_ thrombocytosis. Similarly, cessa- tion of chronic ethanol use may also cause rebound   thrombocytosis.","E. Pernicious anemia

Pernicious anemia is a type of megaloblastic anemia caused by vitamin B12 deficiency. It is not typically associated with thrombocytosis. The other options listed are common causes of thrombocytosis.",A. Iron-deficiency anemia
