Question,Answer,Explanation
Which of the following mechanism is mainly involved in Genomic imprinting,Ans. (a) Methylation,"(Ref: Robbins 9th/pg 3-4)  ? Genomic imprinting selectively inactivates either the  maternal or paternal allele.  ? Occurs in the ovum or the sperm, before fertilization,  and then is stably transmitted to all somatic cells  through mitosis   Mechanisms  ? Histones and histone modifying factors  ? Histone methylation   É Histone acetylation   É Histone phosphorylation  ? DNA methylation  ? Chromatin organizing factors 12."
The term pathology was coined by,Ans. (b) Rudolf Virchow,"(Ref: Robbins 9th/pg 1) Pathology (from the Ancient Greek roots of pathos,  meaning ""experience"" or ""suffering"", and -logia, ""an  account of"") is a significant component of the causal  study of disease and a major field in modern medicine  and diagnosis. The term cellular pathology was coined  by Rudolf Virchow. Complete Review of Pathology 14 Answers with Explanations 13."
Which Collagen is typical of basement membrane,Ans. (c) Type IV,(Ref: Robbins 9th/pg 20-23) 14.
Which of the following function is done by RNAi in a gene,Ans. (c) Knock down,(Ref: Robbins 9th/pg 3-4) Small interfering RNAs (siRNAs)  ? Short RNA sequences introduced experimentally into  cells  ? Their action is similar to endogenous miRNAs.   ? Synthetic siRNAs targeted against specific mRNA have  become useful laboratory tools to study gene function  (so-called ?knockdown technology?) 15.
All of the following are Intermediate filament except,Ans. (b) Cadherin,(Ref: Robbins 9th/pg 21-24) Intermediate filaments are 10-nm diameter fibrils which  provide tensile strength to a cell.  Cadherins are cell-cell desmosomal junctions are  formed by homotypic association of transmembrane  glycoproteins. 16.
Tight junction consists of all except,Ans. (d) Cadherin,"(Ref: Robbins 9th/pg 21-24)   Occluding Junctions (Tight Junctions)  ? Seal adjacent cells together to create a continuous  barrier that restrictsQ the paracellular (between cells)  movement of ions and other molecules.   ? Proteins involved are Occludin, Claudin, Zonulin and  Catenin 17."
Titin protein mutated in,Ans. (a) DCM,"(Ref: Robbins 9th/pg 21-24) Mutations in TTN, a gene on chr 2q31 that encodes titin (so- called because it is the largest protein expressed in humans)  causes 20% of all cases of Dilated Cardiomyopathy (DCM) 18."
Peripheral protein in cell membrane are attached by,Ans. (a) GpI,(Ref: Robbins 9th/pg 21-24) Proteins are linked to cell via glycophosphatidylinositol  (GPI) structures. 19.
Bridging fibrosis in large wounds is due to a. Keratinocyte growth factor,Ans. (d) Transforming growth factor-b,"(Ref: R 9th/pg 20   Functions of TGF? are:  ? Anti-inflammatory, fibrosis, tumor suppressor gene,  angiogenesis 20."
Major cytokine involved in fibrosis a. Transforming growth factor-a,Ans. (b) Transforming growth factor-b,(Ref: R 9th/pg 20) 21.
Types of collage playing important role in wound healing,Ans. (a) I and III,"(Ref: Robbins 9th/pg 20-23) Major types of Collagens & disorders associated with them: Type Present in Disorders I BoneQ, Cornea,Q Scar tissue,  tendons, skin, artery walls,  endomysium of myofibrilsQ,  fibrocartilage, teeth Osteogenesis ? imperfectaQ, Ehlers? Danlos SyndromeQ,  Caffey's diseaseQ II Hyaline cartilageQ, Vitreous  humorQ of the eye. Collagenopathy Type Present in Disorders III Granulation tissueQ, Reticular  fiber, artery walls, skin,  intestines and the uterus Ehlers?Danlos   SyndromeQ IV Basement membraneQ, eye  lensQ, Glomerular Basement  membrane Alport syndromeQ  (COL4‡5) Goodpasture's  syndromeQ (COL4‡3) 22."
Oval stem cells are located in,Ans. (b) Canal of herring,(Ref: Robbins 9th/ pg 27-28) Liver stem cells (oval cells)Q  are present in canals of HeringQ 23.
Stem cells are present in,Ans. (b) Base of crypts,(Ref: Robbins 9th/pg 27-28) 24.
Human genome contains,Ans. (a) 3.2 billion DNA base pairs,(Ref: Robbins 9th/ pg 1)  25.
Protein-encoding genes comprises what percentage of genome,Ans. (b) 1.5%,"(Ref: Robbins 9th/ pg 1) In humans, there are 20,000 protein-encoding genesQ,  comprising only 1.5% of the genome.Q 26."
Jumping genes take part in,Ans. (a) Gene regulation,"(Ref: Robbins 9th/ pg 2) Jumping genes   ? They are Mobile genetic elements, also called  ?transposons?  ? Segments that move around the genome, exhibiting  wide variation in number and positioning;   ? Role in gene regulation and chromatin organization 27."
The most-commen form of DNA variation is,Ans. (a) Single nucleotide polymorphism,"(Ref: R 9th/ pg 3) Single-Nucleotide Polymorphisms (SNPs)  ? Variations at single nucleotide positionsQ  ? Most prevalentQ and important form of genetic  variation.  ? Always bi-allelicQ  ? Can occur in exons, introns, intergenic regions and  coding regions  ? 1% of SNPs occur in coding regions 28."
Linkage disequilibrium refers to,Ans. (d) Co-inherited with the disease causing gene,"(Ref: Robbins 9th/ pg 3) Even if any SNP has no effect on gene function (Neutral   SNP)Q, it may be co-inherited with the ?actual disease  causing gene,? if located close to that gene. This is called  ?Linkage disequilibrium?Q 29."
Heritable changes in gene expression not caused by alterations in DNA sequence refers to,Ans. (b) Epigenetics,"(Ref: Robbins 9th/ pg 3-4) Epigenetics refers to heritable changes in gene expression,  not caused by alterations in DNA sequence.  Epigenetic factors include:   ? Histones and histone modifying factors like Histone  methylation, acetylation and phosphorylation  ? DNA methylation  ? Chromatin organizing factors 30."
Epigenetic factors refers to,Ans. (d) All of the above,(Ref: Robbins 9th/ pg 3-4)  Contd... 15 Chapter 1 ? Cell as a Unit of Health and Disease Answers with Explanations 31.
Function of Peroxisomes is,Ans. (c) Generating H2O2,"(Ref: Robbins 9th/ pg 6-7) Functions of some important cell organelles:  ? Lysosomes:  ? DigestionQ of proteins, polysaccharides, lipids, nucleic  acids  ? Proteasomes:  É Selectively chews up denatured proteins, releasing  peptidesQ  ? Peroxisomes:  É Breakdown of fatty acids,Q generating hydrogen  peroxide 32."
Collagen present in cornea,Ans. (a) Type 1,(Ref: Robbins 9th/ pg 20-23) 33.
Gene silencing RNA-,Ans. (c) miRNA,(Ref: Robbins 9th/ pg 4-5) 34.
Epigenetics deals with genetic modification that do not alter the sequence of DNA. All of the following can detect epigenetic modifications except,Ans. (c) HPLC,(Ref: Robbins 9th/ pg 3-4) 35.
Coding DNA constitutes what proportion of total DNA,Ans. (a) 0.02,(Ref: Robbins 9th/ pg 1) Coding DNA constitutes 0.02 or 1.5-2% of total DNA; Refer  Ans 3 above 36.
GWAS stands for,Ans. (b) Genome wide association studies,"(Ref: Robbins 9th/ pg 179) GWAS refers to ?Genome Wide Association Studies?Q In GWAS, entire genome of large number of individuals with  and without a disease are examined for common genetic  variants or polymorphisms that are overrepresented in  patients with the disease. 37."
Genetic polymorphisms include -,"Ans. (a, b, e) a. SNP; b. Microsatellites; e. Mini satellites",(Ref: Robbins 9th/ pg 3)  ? The 2 types of genetic polymorphisms are single  nucleotide polymorphisms (SNPs) & repeat length  polymorphisms   ? Repeat length polymorphisms can be mini-satellite  (1-3 kb)Q or Micro-satellite repeats (<1 kb)Q 38.
Function of miRNA is/are,"Ans. (a, d, e) a. Gene silencing; d. Translation  repression; e. Breaking of messenger RNA",(Ref: Robbins 9th/ pg 4-5)  39.
Most abundant collagen in the body,Ans. (b) Type II,(Ref: Robbins 9th/ pg 20-23)  ? Collagen I is most the most abundant collagen in the  body.Q  ? Collagen I is the main component of the organic part  of bone.Q  ? Collagen II is most abundant in Cartilage.Q 40.
FACIT collagen is,Ans. (c) Type IX,(Ref: Robbins 9th/ pg 20-23) Type IX collagen in cartilage: help regulate collagen fibril  diameters or collagen-collagen interactions via ?Fibril- Associated Collagen with Interrupted Triple helices?  (FACITs). 41.
Gap junctions comprise of,Ans. (c) Connexins,(Ref: Robbins 9th/ pg 11) Communicating junctions (Gap junctions)  ? Mediate the passage of chemical or electrical signals  from one cell to another.  ? Consists of a dense planar array of 1.5?2-nm pores  called connexonsQ  ? Formed by hexamers of transmembrane proteins called  connexinsQ 42.
All of the following are true about TGF-b except,Ans. (d) Anti-Angiogenic,(Ref: Robbins 9th/ pg 20) 43.
Which of the following statement is not true,Ans. (a) Cytokeratin is the marker of muscle cells,(Ref: Robbins 9th/pg 11) 44.
Which of the following is both morphogenic and mitogenic,"Ans. (b, a) b. Bone morphogenic factor > a. Insulin like  Growth Factor","(Ref: Robbins 9th/ pg 19-20; International journal of molecular  medicine 2007;20: 53-57) Discussing the options one by one: A. Insulin  growth factor  (IGF)  ? IGF-Iismitogenic for growth plate  chondrocytes and stimulates chondrocyte  synthesis of matrix macromolecules,  including proteoglycan and collagen.   ? Causes skeletal growth and development by  acting on epiphyseal growth plate B. Bone  morphogenic  factor or  protein (BMP)  ? Act as chemotactic, mitogenic and help in  differentiating mechanisms  ? During embryogenesis, BMPs regulate  dorsal-ventral patterning, establishment  of embryonic body plan, cell apoptosis,  differentiation of neural cells, patterning of  the limb bud and epithelial-mesenchymal  interactions during organogenesis  (morphogenesis) C. Fibroblast  growth factor  (FGF)  ? Chemotactic and Mitogenic for and  fibroblasts;   ? Stimulates angiogenesis and ECM protein  synthesis D. Epidermal  growth factor  (EGF)  ? Mitogenic for hepatocytes and fibroblasts;   ? Stimulates granulation tissue formation 45."
The function of Proteoglycans and Hyaluronanis,Ans. (a) Lubrication and reduces resistance,(Ref: Robbins 9th/pg 20-24) Function of proteoglycans and hyaluronan is toprovide a  layer of lubrication between adjacent bony surfaces and  reduces friction & resistance. Complete Review of Pathology 16 Answers with Explanations 46.
Mutation in COL4A5 chain leads to,Ans. (a) Alport?s syndrome,(Ref: Robbins 9th/ pg 20-23) 47.
Oncogene tyrosine kinase involves,"Ans. (b, d) b. BCR-ABL; d. JUN",(Ref: Robbins 9th/pg 16-17) 48.
Epidermal growth factor is/are formed by,Ans.,"(e) Keratinocyte (Ref: Robbins 9th/pg 19) EGF and TGF-a are produced by macrophages and a  variety of epithelial cells, including keratinocytes and  are mitogenic for hepatocytes, fibroblasts, and a host of  epithelial cells.  49."
Which of the following statements is not correct regarding stem cell,Ans. (a) Developmental elasticity,(Ref: Robbins 9th/pg 27-28) Stem cells show developmental plasticity (transdifferenti- ation) and not developmental elasticity; Transdifferentiation indicates a change in the lineage  commitment of a stem cell. 50.
Which of the following is involved in stem cell self- renewal,"Ans. (a, b, d, e) a. Oct 3/4; b. sox 2; d. FLT3 ligand; e. c-kit","(Ref: Robbins 9th/ pg 27-28, 580-581) Discussing the options one by one:  A. Oct 3/ pg4  (octamer- binding  transcription  factor)  ? Also known as POU5F1;  ? It is critically involved in the self-renewal of  undifferentiated embryonic stem cells.  ? It is frequently used as a marker for  undifferentiated cells. B. Sox 2 SRY (sex determining region Y)-box 2, also  known as SOX2, is a transcription factor that  is essential for maintaining self?renewal or  pluripotency of undifferentiated embryonic  stem cells C. C myc Proto?oncogene involved in Burkitt lymphoma;  Not involved in stem cell self?renewal; D. FLT3 ligand Flt3 ligand (FL) is a hematopoietic cytokine.  It is structurally homologous to stem cell  factor (SCF) and colony stimulating factor 1  (CSF-1). Flt3 ligand stimulates proliferation  & differentiation of various blood cell  progenitors. E. C-kit  ? Mast/stem cell growth factor receptor  (SCFR), also known as CD117  ? Signalling through CD117 plays a role in cell  survival, proliferation, and differentiation.  ? It binds to a substance called stem cell factor  (SCF), which causes stem cell proliferation 51."
True about Metaplasia is,Ans. (c ) Occurs at stem cells level   Option a & b are-false.   ? Cell adaptations are reversible & b both epithelial &  mesenchymal     Option c is-true.   ? Metaplasia is change in phenotype of cells due to stem  cell reprogramming    Option d is-false.   ? Most common type of metaplasia is squamous metaplasia 2.,No explanation provided.
An example of metaplasia is,Ans. (b) Barrets,(Ref: Robbins 9th/pg 37-38; 8th/pg 10) 3.
All the following are true regarding hypertrophy except,Ans. (b) DNA content same as in normal cells,"(Ref: Robbins 9th/pg 34; 8th/pg 6, Rev Esp Cardiol. 2006;  59:473-86. - Vol. 59)   Hypertrophy:  Characterized  by  an  increment  in  cardiomyocyte size, with increased protein synthesis and  changes in the organization of the sarcomeric structure.  DNA content also increases so b is false 4."
Find the false statement about metaplasia,Ans. (d) Pleomorphism present,(Ref: Robbins 9th/pg 37-38)   Option a-true. All the adaptations are reversible.   Option b-true. loss of polarity is a f/o dysplaia   Option c-true-Mechanism of metaplasia: Reprogramming  of stem cellsQ in normal tissues or of undifferentiated  mesenchymal cells present in connective tissue. 5.
Increase in the number of goblet cells in the non- respiratory terminal bronchiole is an example of,Ans. (c) Metaplasia,(Ref: Robbins 9th/pg 37-38; 8th/pg 10)    Increase in the number of goblet cells in the non-respiratory  terminal bronchiole is an example of intestinal metaplasia. 6.
In respiratory tract metaplasia occurs from,Ans. (c) Columnar to squamous,"(Ref: R 9th/pg 37-38)   In smokers, pseudostratified ciliated columnar epithelium  of respiratory tract changes to squamous epithelium 7."
"In Vitamin-A deficiency, cancerous lesions occur due to",Ans. (a) Metaplasia,"(Ref: Harshmohan Pathology For Dental 4th ed, pg 81)   In Vitamin-A deficiency, squamous metaplasia of conjunc- tiva leading to xerophthalmia. 8."
Definition of hyperplasia is,Ans. (a) Increase in number of cells,(Ref: R 9th/pg 35-36) 9.
All are cellular adaptations except,Ans. (c) Necrosis,(Ref: Robbins 9th/pg 34; 8th/pg 6)    Necrosis is cell death all others are cell adaptations  10.
Decrease in cell size refers to,Ans. (a) Atrophy,(Ref: Robbins 9th/pg 36-37)     Atrophy: decrease in cell size and number.Q 11.
Metaplasia arises from reprograming of,Ans. (a) Stem cells,(Ref: 9th/pg 36; 8th/pg 8)     Mechanism of metaplasia: Reprogramming of stem cellsQ  in normal tissues or of undifferentiated mesenchymal  cells present in connective tissue.Q 12.
All of the followings are signs of reversible cell injury; except,Ans. (d) Dense Mitochondrial deposit,(Ref: Robbins 9th/pg 42) 13.
Features of irreversible cell injury is/are,"Ans. (a, b, d); a. Lysosomal rupture; b. Pyknosis;  d. Severe mitochondrial dysfunction Bleb formation on membrane which are cytoplasmic blebs  are a feature of reversible injury. 14.",No explanation provided.
A Patient have acquired syndrome associated with defective breakdown and disposal of intracellular fatty acids. Which intracellular organelle is concerned with this mechanism,Ans. (c) Lysosomes 15.,No explanation provided.
In myocardium reperfusion injury is due to,Ans. (a) Ca,"(Ref: Gross GJ, Kersten JR, Warltier DC. Mechanisms of  postischemic contractile dysfunction. Ann Thorac Surg.  1999; 68: 1898?1904.)   Mediators of reperfusion injury are: Oxygen Free  Radicals, Endothelial Dysfunction and Microvascular  Injury, Alterations in Calcium Handling 16."
Which of the following is not a sign of reversible cell injury,Ans. (b) Cell shrinkage,(Ref: Robbins 9th/38;8th/pg 17)   Features of reversible cell injury seen in light microscopy  are cellular swelling and fatty change.    Cell shrinkage is a feature of apoptosis (cell death) 17.
Earliest feature of reversible cell injury is,Ans. (b) Decreased ATP,"(Ref: Robbins 9th/38;8th/pg 17)   Earlier molecular changes in cellular injury are decreased O2  to issue leading to decreased oxidative phosphorylation  leading to decreased ATP 43 Chapter 2 ? Cell Adaptation, Injury and Death Answers with Explanations 18."
First manifestation in cell injury,Ans. (b) Cell swelling,(Ref: Robbins 9th/pg 46; 8th/pg 12)   Cloudy swellingQ - earliest morphological change in  reversible cell injuryQ due to accumulation of water  intracellularly 19.
The following is not a reversible cell injury,Ans. (d) Moth eaten appearance of cytoplasm,"(Ref: Robbins 9th/pg 40; 8th/pg 12)   Necrotic cells have a more glassy, homogeneous appearance,  mostly because of the loss of glycogen particles.   When enzymes have digested cytoplasmic organelles, the  cytoplasm becomes vacuolated and appears ?moth-eaten.? 20."
"All are features of reversible injury of cell, except",Ans. (b) Amorphous densities in mitochondrial matrix,(Ref: Robbins 9th/pg 40; 8th/pg 12)   Amorphous densities in mitochondria are features of  irreversible cell injury-option b is false 21.
Cells seen in chronic infection of pseudomonas,Ans. (a) Neutrophils,(Ref: http://www.hopkinsmedicine.org/mcp/ Education/300.713% 20Lectures/Infectious.pdf)  ? Acute response to infection is characterized by  neutrophils  ? Chronic response to infection is characterized by  infiltrate by macrophages and monocytes  ? Pseudomonas is an exception in that its chronic  response is also characterized by neutrophila 22.
Cells most sensitive to hypoxia are,Ans. (b) Neurons,(Ref: Robbins 9th/pg 130; 8th/pg 129)  ? Tissue vulnerability to hypoxia-   ? Neurons undergo irreversible damage 3 to 4 minutesQ  of ischemia  ? Myocardial cells die after only 20 to 30 minutesQ of  ischemia   ? Fibroblasts within myocardium remain viable even  after many hours of ischemia 23.
Irreversible cell injury,Ans. (a) Mitochondrial densities,"(Ref: R 9th/pg 42; 8th/pg 19) Features of irreversible injury include:     Severe swelling of mitochondriaQ: Large, flocculant,  amorphous densitiesQ develop in mitochondrial matrix  (Increased Ca2+ influx)Q 24."
"In cell death, myelin figures are derived from",Ans. (b) Cell membrane,"(Ref: R 9th/pg 42; 8th/pg 9,19)   Myelin FiguresQ  ? Rolled-up or scroll-like arrangement of a lipid bilayer  within a cellQ  ? Derived from damaged cell membranesQ 25."
Which finding on electron microscopy indicates irreversible cell injury,Ans. (c) Flocculent amorphous densities in the  mitochondria,"(Ref: Robbins 9th/pg 42; 8th/pg 19; Refer to  Ans 29)   Please note: myelin figures first appear in reversible cellular  injury and become more pronounced in irreversible cell  injury. Hence if this q was asked in PGI, answer should be  both c and d. but if we have to mark one..mark c. 26."
Which of the following is activated by intrinsic or extrinsic pathways,Ans. (b) Apoptosis,(Ref: Robbins 9th ed/pg 53) 27.
Acute inflammatory response is seen in,Ans. (c) Necrosis,(Ref: Robbins 9th ed/pg 50) 28.
Which of the following is involved in apoptosis pathway,Ans. (b) p53 and caspases,(Ref: to question number 36 and 37) 29.
Which of the following statements is false about apoptosis,Ans. (c) Organelle swelling   Morphology of Apoptosis  ? Cell shrinkageQ  ? Chromatin  condensation:  most  characteristic  featureQ of apoptosis  ? Formation of cytoplasmic blebs and apoptotic bodiesQ  ? Plasma membrane remains intactQ during apoptosis  ? Apoptosis in contrast to necrosis doesn't elicit inflam- mationQ. 30.,No explanation provided.
Which of the following can recognize dead material,Ans. (b) Inflammosome 31.,No explanation provided.
Necrotic cells are recognized by NOD like receptors which then activates inflammosomes. Which of these are anti apoptotic gene,"Ans. (a, e) a. BCL; e. MCL 32.",No explanation provided.
IL-1 is activated by,Ans.(a) Caspase 1 33.,No explanation provided.
Which of the following is an antiapoptotic gene,Ans. (d) Both a & b 34.,No explanation provided.
Which of the following type of necrosis is seen in immune complex deposition in blood vessel,Ans. (c) Fibrinoid necrosis 35.,No explanation provided.
"For programmed cell death type 2 and autophagy, which is apoptotic genes",Ans. (b) BAK   BAK and BAK are proapoptotic genes. 36.,No explanation provided.
True about p53 gene,"Ans. (a, b) a. Tumor suppression; b. Proapoptotic",(Ref: Robbins 9th/pg 53)   P53 is tumor suppressor gene (see neoplasia chaper) and  also induces Bax which causes apoptosis  37.
True about caspases are,"Ans. (a, d) a. They are enzyme starting apoptosis;   d. They are proteases which cause cellular death in  apoptosis found in irreversible cell damage",(Ref: Robbins 9th/pg 53)   Caspases are cystiene proteases that cleave after aspartic  acid. These protiens have crucial role in apoptosis 38.
About the given image true is,Ans. (a) C is showing necrosis,(Ref: Robbins 9th/pg 53)   C is showing smudged pattern S/O necrosis 39.
True about necroptosis is all except,"Ans. (b, c) b. Caspase independent; c. Failure of  activation of caspase 8","(Ref: Robbins 9th/pg 59)   Necroptosis occurs when caspase 8 cannot be activated, in  such cases apoptosis is mediated by RIP1 and RIP3 protiens  (caspase independent) Complete Review of Pathology 44 Answers with Explanations 40."
Which of the following is an antiapoptotic gene,Ans. (c) BCL-XL 41.,No explanation provided.
SMAC/DIAMBLO is a,Ans. (d) Pro-apoptotic protein 42.,No explanation provided.
Antiapoptotic gene,Ans. (a) FLIP 43.,No explanation provided.
Necrosis seen in chronic pancreatitis is,Ans. (a) Fatty,"(Ref: Robbins 9th/pg 43; 8th/pg 15,16)   Fat necrosis: Seen in acute pancreatitis, breast, omentum 44."
False about apoptosis,Ans. (a) Inflammation present,"(Ref: 9th/pg 53; 8th/pg 25,26)   Apoptosis in contrast to necrosis doesn?t elicit inflamma- tionQ 45."
Earliest change in cell death is,Ans. (c) Cell swelling,(Ref: Robbins 9th/pg 46; 8th/pg 12)   Earliest change in any form of cell injury is cellular swelling  due to accumulation of water intracellularly. 46.
Which of the following induces apoptosis,Ans. (d) Isoprenoid,"(Ref: Korean J Physiol Pharmacol.  2013 Feb;17(1):43-50.)   ? Palmitic acid (PAM), one of the most common saturated  fatty acid (SFA) in animals and plants, has been shown  to induce apoptosis   ? Farnesol (FOH) and other isoprenoid alcohols induce  apoptosis in various carcinoma cells and inhibit  tumorigenesis in several in vivo models.  47."
Which of the following is an execution caspase,Ans. (a) Caspase 3,(Ref: Robbins 9th/pg 56; 8th/pg 26)   There are two executionary caspases 3 and 6.   Most important executionary caspase is caspase 3 48.
Diabetic foot is an example of,Ans. (a) Dry gangrene,"(Ref: A Practical Manual of Diabetic Foot Care By Michael  E. Edmonds: pg 144)   The combined changes of angiopathy and neuropathy give  rise to Diabetic Foot which usually leads to dry gangrene in  patients of diabetes. In patients with uncontrolled diabetes,  however wet gangrene can also ensue.  49."
Annexin V is a marker of,Ans. (d) Apoptosis,(Ref: Robbins 9th/pg 53; Robbins 9th/pg 29-30)   Apoptotic cells express phosphatidylserine/thrombos- pondinQ on the outer layer of plasma membrane because  of which these cells are recognized by the dye Annexin V 50.
Cell organelle which plays a pivotal role in apoptosis,Ans. (b) Mitochondria,(Ref: Robbins 9th/pg 38; 8th/pg 17) 51.
Fibrinoid necrosis is seen in all except a. Malignant hypertension,Ans. (c) Diabetic glomerulosclerosis,"(Ref: R 9th/pg 44)   Fibrinoid necrosis: Seen in PAN, malignant hypertension,  acute rheumatic fever 52."
Ladder pattern of DNA electrophoresis is seen in,Ans. (b) Apoptosis,(Ref: Robbins 9th/pg 53; R 9th/pg 29-30)   DNA  breakdown  (Internucleosome  cleavage  by  endonuclease into 200 bp oligonucleosomes is a  characteristic)Q at specific sites can be detected by ?step  ladder pattern? on gel electrophoresis or TUNEL (TdT  mediated d-UTP Nick End Labelling) technique 53.
The following is not a sensor of apoptosis,Ans. (c) Bax,"(Ref: Robbins 9th/pg 55; 8th/pg 28)   BAD, BIM, BID, Puma, and Noxa are sensors of apoptosis 54."
Intrinsic pathway of apoptosis is initiated by all the following except,Ans. (d) Type 1 TNF receptor,(Ref: Robbins 9th/pg 53)   Lack of survival signals (option a)and DNA damage  (option b and c)trigger intrinsic pathway of apoptosis   Extrinsic pathway is activated by Death receptors are  members of the TNF receptor family 55.
Defective apoptosis and increased cell survival is seen in,Ans. (a) Autoimmune disease,"(Ref: AGING, Vol 4, No 5, pp 330-349, Del Puerto HL,  Martins AS, Milsted A; et al. (2011).?Canine distemper virus  induces apoptosis in cervical tumor derived cell lines?. Virol.  J. 8 (1): 334)   Inhibition of apoptosis can result in a number of cancers,  autoimmune diseases, inflammatory diseases, and viral  infections.   Defective Neuronal apoptosis plays an important role in  neurodegenerative disorders like Parkinson?s disease  (PD), Alzheimer?s disease (AD) 56."
Receptor associated kinases 1,Ans. (c) Necroptosis,"(Ref: Robbins 9th/pg 58-59)   Necroptosis: Genetically programmed signal transduction  event  without  caspase  activation  ?  ?caspase- independent? programmed cell death, it is dependent  on signaling by the RIP1 and RIP3 complex 57."
Inflammasome is formed in,Ans. (d) Pyroptosis,(Ref: Robbins 9th/pg 58-59)   Pyroptosis: Promotes the activation of inflammasome  which activates Caspase-1Q which releases biologically  active form of IL-1 from the precursor.  58.
Find the true statement regarding fibrinoid necrosis,Ans. (d) Fibrin deposition,"(Ref: R 9th/pg 44; 8th/pg 15,16)   Fibrinoid necrosis: Deposits of ?antigen ?antibody  complexes?Q & fibrin that has leaked out of vessels, result  in a bright pink and amorphous appearance in H & E  stains 59."
All are true regarding apoptosis except a. Active process,Ans. (d) Smear pattern in electrophoresis,(Ref: R 9th/pg 53)   Smear pattern is seen in necrosis 60.
The following is a pro-apoptic factor,Ans. (a) Bax,"(Ref: Robbins 9th/pg 55; 8th/pg 28)  ? Proapoptotic: Apaf1, cytochrome c, Bak, Bax, Bim, AIF,  P53, Caspases, CD95 (FAS), TNF R1 and Smac/Diablo  ? Antiapoptotic: Bcl2, BclxL, Bclx, FLIP, McL-1, IAP 45 Chapter 2 ? Cell Adaptation, Injury and Death Answers with Explanations 61."
Find the wrong match,Ans. (a) Coagulative necrosis?Tuberculosis,"(Ref: Robbins 9th/pg 43; 8th/pg 15,16) 62."
Fibrinoid necrosis is seen in all the following except a. Malignant hypertension,Ans. (d) Diabetic glomerulosclerosis,(Ref: R 9th/pg 44) 63.
Apoptosis is induced by,Ans. (c) Activation of caspases,"(Ref: R 9th/pg 52, 53, 56)   Activation of caspases > caspases alone 64."
Hypoxic death of brain tissue results in,Ans. (b) Liquefactive necrosis,(Ref: Robbins 9th/pg 43)   Necrosis in central nervous system: Liquefactive necrosis 65.
True about bcl-2,"Ans. (b, c) b. ? Apoptosis; c. ? Resistance of tumor to  treatment",(Ref: Robbins 9th/pg 55; 8th/pg 28)   bcl-2: antiapoptotic molecule-option b is true   Option c is true : resistance of tumour cells to therapy can  be caused by a failure in the ability to initiate apoptosis   Option d is false: bcl2 mutation though is hallmark of  follicular carcinoma but is seen in many other cancers also   Option e is false: tumor suppressor NF2 is disrupted in  approximately half of all meningiomas 66.
True about Apoptosis are all except a. Inflammation is present,Ans. (a) Inflammation is present,"(Ref: R 9th/pg 29, 30, 53) 67."
Not true about apoptosis,Ans. (a) Increase in lysosomal enzyme,(Ref: Robbins 9th/pg 53; Robbins 9th/pg 29-30) 68.
