Questions,Answers
" Question 2.   How is the speciﬁ c acute porphyria  identiﬁ ed?  A.  Stool assay for porphyrins    B.  Anticoagulated blood assay for hydroxybi- lane synthase (also called PBG deaminase)     C.  Anticoagulated blood genotyping   D.  Hemoglobin electrophoresis    E.  A, B, and C ","E . A, B all the time, and C often "
" Question 3.   How are patients with an acute  porphyria cared for?    A.  Refer them to a porphyria specialist, so they  can be counseled and communicate to the spe- cialist for treatment at a possible acute attack.      B.  Patients should join the American Porphyria  Foundation (APF).    C.  Avoid all drugs.   D.  A and B.    E.  A, B, and C. ",D : A and B 
"and Treatment of a Non-acute  Cutaneous Porphyria   A 35-year-old man was seen for upper extremity  and facial blisters, associated with increased skin  sensitivity, blister breakage, and hypertrichosis.  He denied having major abdominal problems.  After studies for possible causes, he was referred  to a porphyria specialist. Further studies were  normal except for a 24-h urine, which showed a  markedly increased amount of uroporphyrin  (1841 μg/24 h; normal ≤75 μg), thus determining  the diagnosis of porphyria cutanea tarda (PCT).  The patient had no family history of similar cuta- neous phenomena, and no environmental cause  of PCT was obvious. Testing for hepatitis was  negative, serum ferritin was elevated, serum iron/ iron binding capacity was normal, and the hemo- chromatosis gene was heterozygous for the H63D  mutation. He was treated with biweekly phlebot- omy, leading to reduction of the urine uroporphy- rin to normal and serum ferritin to low after  6 months of treatment. He is monitored by urine  uroporphyrin analysis every 9–12 months, and  his uroporphyrin excretion has remained normal  for several years.   Question 4.   What studies will monitor the  ultimate effects of PCT?   A.  Diet that the patient eats.    B.  Test the hemochromatosis genes.    C.  Liver chemistries.   D.  Total body iron.    E.  B, C, and D. ","E . B, C, and D "
"Cutaneous Porphyria   A 10-year-old boy was referred to a porphyria  specialist because of cutaneous photosensitivity  since infancy. With sun exposure, his skin quickly  developed tingling, and subsequently swelling,  erythema and pain. As a result, he avoids sun  exposure and always wears clothes covering his  skin. His physical examination, including the  abdominal evaluation of his liver, was normal.  His routine laboratory studies, including com- plete blood count and liver function tests, were  normal. The result of an anticoagulated free  erythrocyte  protoporphyrin  analysis  was  2,460 μg/dl, far above normal (<81) and diagnos- tic of erythroprotoporphyria (EPP). He was  started on beta-carotene treatment.   Question 5.   What are the long-term effects of  treated EPP?   A.  Healed skin    B.  Successful beta-carotene treatment    C.  No child inheritance   D.  A, B, and C    E.  None of the above ","E . None of the above ( A ,  B ,  C ) "
"Presenting with Thalassemia Major  and Splenomegaly   In his family history, the patient reported Sardinian  origin, parents β-thalassemia carriers and one sis- ter β-thalassemia carrier too. The diagnosis of  thalassemia major was formulated at 4 months  (genotype, β°cod.39/β°cod.39). He is regularly  transfused with two units of packed red cells  every 21 days with maintenance of hemoglobin  levels of 9.5 g/dl. He was in chelation treatment  with deferoxamine 40 mg/kg/5 days a week with  a good ferritin level (550 ng/ml). In his medical  history at the age of 16 years, he had an explor- ative laparotomy and appendicectomy for  Yersinia  enterocolitica  infection and at 18 years an episode  of bronchitis. Endocrinological complications  were  hypogonadotropic  hypogonadism  on  replacement therapy and hypoparathyroidism. He  has no hepatic complication related to HCV hepa- titis. At physical examination marked splenomeg- aly and hepatomegaly were detected. In the last  year, the patient has increased his transfusional  support for a reduction of pre-transfusional hemo- globin (Hb) levels (mean Hb 8 g/dl) and asthenia.  A progressive reduction in white blood cell count  (WBC) and platelets (PLT) have been reported (at  last evaluation, WBC 2100/mm 3 ; neutrophils  1000/mm 3 ; PLT 86,000/mm 3 ). Moreover, an  intensiﬁ cation of chelation treatment was neces- sary for an increased ferritin level (1500 ng/ml).   Question 1.   What is the most probable cause  of those changes in the last year?   A.  Appearance of onco-hematological disease  (myelodysplastic syndrome)     B.  Viral infection    C.  Hypersplenism   D.  Medullary aplasia    E.  Drug-induced  thrombocytopenia  and  leucopenia    ",C 
" Question 2.   What is advisable to do before  splenectomy to avoid infections?   A.  Antibiotic therapy    B.  Antipneumococcal vaccination    C.  Nothing   D.  Anti-hepatitis B vaccination    E.  Antipneumococcal, antimeningococcal, and  antihaemophilus vaccination    ",E 
"Question 3. After splenectomy patient reached ferritin levels of 1700 ng/ml, stable for 6 months; the patient referred good compli ance to chelation regimen with deferoxamine. What additional testing would be recom mended to assess iron overload before chang ing dose or type of chelation treatment? A. Abdomen US and TC B. Heart and liver T2* magnetic resonance C. No other test D. Transferrin levels and ferritin saturation E. Chest X-ray",B 
"Affected by Thalassemia Intermedia  Complicated by Pulmonary  Thromboembolism   A 43-year-old Italian woman was admitted to the  emergency unit for respiratory distress with  severe pulmonary hypertension and cardiac fail- ure. She died after 1 month of hospitalization.  About her medical history at the age of 8 years,  she was diagnosed as β-thalassemia carrier; at the  diagnosis hematological data were Hb 10.2 g/dl,  RBC 5100 × 10 12 /l, MCV 78 ﬂ , WBC 4500 × 10 9 /l,  PLT 150 × 10 9 /l, HbA 96.3 %, HbA2 4.2 %, and  HbF 2.2 %; ferritin values were 200 ng/ml.  Patient’s blood smear showed RBCs different in  shape and width.   Question 4.   The diagnosis of β-thalassemia  carrier was supported by:   A.  Decrease Hb level    B.  Increased HbA2    C.  Reduces MCV   D.  Increased HbF    E.  All the answers ",E 
 Question 5.   Is the splenomegaly common in  β-thalassemia carriers?   A.  Yes    B.  No    C.  Rare   D.  Only in adulthood    E.  Not known ,B 
 Question 6.   Which other hematological eval- uations could be indicated?   A.  Membrane erythrocyte proteins    B.  Glucose-6-phosphate dehydrogenase activity    C.  Pyruvate kinase activity   D.  Molecular analysis of globin genes and fam- ily’s study     E.  Gilbert syndrome ,D 
 Question 7.   Are thalassemia intermedia  patients at risk for thrombosis?   A.  Yes    B.  No    C.  Over the age of 40 year   D.  Mainly after splenectomy    E.  A + D ,E 
"Presenting a Curious Thalassemia  Trait   A 52-year-old woman of Filipino origin came  as outpatient to our outpatient center for inves- tigations about a possible thalassemia trait. In  his family history, the patient reported that her  father aged 88 years was affected by rheuma- toid arthritis; her mother died at 88 years for  stroke; she was anemic. The patient referred to  have a brother of 57 years old, in good health  with essential hypertension. Parents were not  consanguineous.   In his medical history, she presented tonsillec- tomy and adenoidectomy at the age of 15 years;  at 19 years old, she reported a hospitalization for  fever and jaundice with a diagnosis of hemolitic  anemia. During the last years, the patient felt  well, with hemoglobin levels spontaneously  maintained between 8 and 9 g/dl; she was never  transfused, but she showed hyperferritinemia and  splenomegaly. In 2009 she was admitted to the  emergency unit for Hb levels of 6 g/dl and fever.  At our center, she presented Hb 6.7 g/dl, MCV  Disorders of Hemoglobin Synthesis: Pathophysiology and Diagnostic Evaluation  34 68.7 ﬂ , MCH 17.4 pg, MCHC 25.3 g/dl, RDW  34.9 %, normal value of platelets and white blood  cells, reticulocytes 5.18 %, ferritinemia 1171 ng/ ml, transferrin saturation (sat.Trf) 62 %, total bili- rubin 1.23 mg/dl, direct bilirubin 0.41 mg/dl, and  LDH 595 U/l.   Question 8.   What is the most probable diag- nosis based on blood tests?   A.  Iron deﬁ ciency anemia    B.  Lysosomial storage disease    C.  Chronic inﬂ ammatory state   D.  Red cell membrane defects    E.  Globin chains defect (thalassemia intermedia) ",E 
 Question 9.   Which are the tests that can lead  to a diagnosis in this patient?   A.  Abdominal ultrasound    B.  Hemoglobin electrophoresis    C.  Molecular analysis   D.  Hemoglobin electrophoresis and subsequent  molecular analysis     E.  Research for gene for hemochromatosis ,D 
" Question 10.   What is the possible cause of a  reduction in hemoglobin levels in our patient?   A.  Hemolytic crisis    B.  Blood loss  DIAGNOSTIC ALGHORITM IN SUSPECTED THALASSEMIA TRAIT MCV  MCH  Sat.Trf% and Ferritin  Iron Deficiency Anemia (IDA) Sat. Trf%  β-thalassemia  Hb A2  normal α-thalassemia HbS, HbE, HbC Hb A2  elevated HbA2 e Hb fractions  (HbS, HbE, HbC) Inherited mycrocitic anemia ",E 
" A 50-year-old Moroccan man was admitted to  the emergency unit complaining mild limb and  leg myalgia with asthmatic bronchitis. He  referred to be affected by sickle/β-thalassemia  with history of vaso-occlusive crisis (VOCs).  At admission the laboratory ﬁ ndings showed  Hb 9.8 g/dl, RBC 3930 × 10 12 /l, MCV 74 ﬂ ,  WBC 11,500 × 10 9 /l, PLT 350 × 10 9 /l, CRP  14.8 mg/dl, total bilirubin 1.6 mg/dl, direct bili- rubin 0.5 mg/dl, LDH 256 U/l, ferritin 250 ng/ ml and sat.Trf 50 %, HbF 10 %, and HbS 76.8 %.  He was treated with painkillers, β-agonists,  corticosteroids, antibiotics, and intravenous  hydration  with  prompt  resolution  of  symptoms.   Question 11.   Which are the principal compli- cations in SCD?   A.  Bone involvement    B.  Acute chest syndrome    C.  Stroke   D.  None of the previous answers    E.  All the previous answers ",E 
" Question 12.   When is it indicated to start  hydroxyurea therapy in SCD?   A.  Two to three VOCs/year, requiring analgesia  with opioid and hospital admission     B.  Previous acute chest syndrome    C.  Frequent admission to hospitals   D.  None of the previous answers    E.  All the previous answers ",A + B + C 
"Regimen and Initiation of Iron  Chelation)   A 20-month-old boy recently moved to the USA  from Thailand with his family. He has a history  of thalassemia and has been treated with inter- mittent transfusions whenever he has symptoms  of anemia, according to his parents. He is other- wise active and playful. He is growing well, with  height and weight at the 10th and 25th percen- tiles, respectively. His head circumference is at  the 50th percentile. His physical examination is  remarkable for pallor, frontal bossing, scleral  icterus, and moderate splenomegaly (2–3 cm  below left costal margin). His parents report that  his hemoglobin (Hb) is usually around 6 g/dL. A  complete blood count at your ofﬁ ce shows Hb  6.3 g/dL and Hb electrophoresis with HbA 20 %,  Hb E 43 %, HbA 2 6 %, and HbF 31 %. His serum  ferritin was 1150 mg/dL and he has never been  on iron chelation therapy.   Question 1.   What transfusion regimen is most  appropriate for him?   A.  Intermittent transfusions when symptomatic.    B.  Chronic transfusions to maintain his pre-  transfusion hemoglobin at 9.5 g/dL.     C.  Discontinue transfusions to avoid iron overload.   D.  Transfuse to maintain a normal hemoglobin  >12 g/dL. ",B 
 Question 2.   How would you monitor his iron  overload status?   A.  Serum ferritin levels every 3–6 months    B.  Liver biopsy    C.  Magnetic resonance imaging (MRI) R2/R2*  or FerriScan every 12 months   D.  Superconducting  quantum  interference  device (SQUID) ,C 
 Question 3.   When should iron chelation ther- apy be started?   A.  After he has received chronic transfusions for  1–2 years     B.  After approximately 20–25 units of pRBCs    C.  When the serum ferritin level is >1000 ng/mL  for at least two steady-state separate  measurements     D.  When the liver iron concentrations is >3 mg  Fe/g dry wt measured by biopsy or MRI     E.  All of the above ,E 
"Complications)   A 17-year-old girl with β-TM presents with bone  pain and delayed puberty. She has been on  chronic transfusions since age of 2 years and she  started iron chelation at age 3 years with deferox- amine. She had poor compliance with the nightly  subcutaneous deferoxamine infusions and chela- tion changed to deferasirox 4 years ago. Her  serum ferritin levels are elevated (3500–4500 mg/ dL range). Over the last year, she has required  more frequent transfusions with an annual trans- fusion volume of 240 mL/kg/year to maintain her  pre-transfusion hemoglobin at 9 g/dL. She is  active and likes to play soccer. On exam, she is  short (<3rd percentile for height) and pale with  scleral icterus and has marked splenomegaly and  Tanner 2 breast development with scant pubic or  axillary hair. She has not had menarche yet.   Question 4.   How would you manage her  growth impairment and delayed puberty?   A.  Provide reassurance and monitor height and  weight annually.    B.  Perform testing to identify possible causes.    C.  Consider an empiric trial of growth hormone  treatment for a year.   D.  Start dual iron chelation therapy. ",B 
 Question 5.   How would you evaluate her bone  health? What is the most appropriate initial  intervention for osteopenia in children with  β-TM?   A.  Sufﬁ cient calcium and vitamin D supple- ments and increased physical activity    B.  Adequate iron chelation    C.  Growth hormone replacement therapy   D.  Bisphosphonates to inhibit the function of  osteoclasts    ,A 
" Question 6.   What are the indications for   splenectomy in patients with β-TM?   A.  Increased blood requirement (more than 200– 220 mL/kg/year)     B.  Hypersplenism (leukopenia, thrombocytope- nia, and worsening anemia)     C.  Symptomatic splenomegaly with left upper  quadrant abdominal pain or early satiety    D.  All of the above ",E 
 Question 7.   What are the assessments that you  would consider for her comprehensive care?   A.  Liver iron measurement (R2* MRI or  FerriScan) every 12 months    B.  Serum ferritin every month    C.  Annual serologies for blood-borne pathogens   D.  All of the above ,D 
"SCT, and Gene Therapy)   A 27-year-old female with beta thalassemia major  presented to your ofﬁ ce for routine assessment.  She has been doing well since her last visit with no  acute illness, emergency room visits, or hospital- izations. She continued to receive chronic transfu- sions every 4 weeks with an average of pre-Hb  level of 9–10 g/dL. She has been on deferasirox  (25 mg/kg) for the last 3 years but she is experienc- ing nausea and bloating. Her serum ferritin has  been 2500–3500 mg/dL. She has a history of type  I diabetes that is well controlled on insulin. She  earned a degree in computer  sciences and works as  a software programmer. She was married a year  ago and is interested in pregnancy in the near  future. She has questions about thalassemia rec- ommendations for pregnancy preparation and  availability of deﬁ nitive treatment options includ- ing stem cell transplantation and gene therapy.   Question 8.   What, if any, changes should she  make in her iron chelation strategy?   A.  Increase her deferasirox dose.    B.  Add an additional chelating agent.    C.  Stop all chelation now.   D.  Reduce the frequency of her transfusions. ",A 
" Question 9.   How would you counsel her about  pregnancy and other precautions during  pregnancy?   A.  Ovarian reserve testing should include anti-  müllerian hormone levels and antral follicle  counts.      B.  No testing, since all women with TM are  infertile.    C.  Continue taking her current chelation during  pregnancy. ",A 
 Question 10.   What option for allogeneic  hematopoietic cell transplantation is associ- ated with the best outcomes in patients with  β-TM?   A.  Unrelated umbilical cord blood donor    B.  Matched sibling donors    C.  Matched unrelated donors   D.  Haploidentical related donors ,B 
 Question 11.   What about the use of other  alternative or novel drugs might help her?   A.  Hydroxyurea to induce fetal hemoglobin    B.  Short-chain fatty acids    C.  New agents to induce erythroid maturation   D.  All of the above ,D 
 Question 12.   What do we know about gene  therapy in thalassemia so far?   A.  It has proven efﬁ cacy and should be offered  to all patients.     B.  It should be considered to control iron  overload.    C.  Early data on safety and efﬁ cacy are  promising.     D.  The risk of leukemia is high with gene ther- apy and should be avoided. ,C 
 Question 1.   Which pretransplant recipient-  related factor is an important predictor of out- comes after allo-HCT?   A.  Gender    B.  Hepatic portal ﬁ brosis    C.  None of the above ,B 
 Question 2.   Select the best donor and graft  combination for allo-HCT for this patient with  BTM.   A.  HLA-matched sibling donor and acquisition  of graft from peripheral blood     B.  HLA-matched sibling donor and acquisition  of graft from bone marrow    C.  HLA-matched sibling donor and acquisition  of graft from either bone marrow or periph- eral blood    ,B 
 Question 3.   Which conditioning intensity is  considered standard for most BTM patients  undergoing allo-HCT?   A.  Myeloablative    B.  Non-myeloablative (NMA)    C.  Reduced-intensity conditioning (RIC)  ,A 
 Question 4.   Which statement about mixed  chimera is correct?   A.  Relapse  is  inevitable  without  urgent  intervention.    B.  Mixed hematopoietic chimera does not por- tent relapse.     C.  The proportion of residual host cells (RHCs)  inﬂ uences the risk of relapse. ,C 
 Question 5.   Which statement about surveil- lance after allo-HCT in patients with BTM is  correct?   A.  Growth failure is never an issue after success- ful allo-HCT.    B.  GvHD is not observed in “ex-thalassemics.”    C.  Management of pretransplant iron overload  should continue after successful allo-HCT. ,C 
" Question 1.   Which of the following  statements  is correct ?  A.  Clinical trials have shown that hydroxyurea  prevents VOC in HbSC disease patients.    B.  Hydroxyurea may cause or exacerbate leg  ulcers in SCD.     C.  The main mechanism of action of hydroxy- urea involves induction of fetal hemoglobin.   D.  Increased hemoglobin is the best indicator of  hydroxyurea efﬁ cacy.   E. M.  Novelli ,  MD ",C 
" Question 2.   What further action is required  to prevent the deterioration of kidney function  in this patient ?  A.  No further intervention, his creatinine is nor- mal and care should focus on maximizing  hydroxyurea therapy.    B.  He should be placed on prophylactic chronic  transfusions as he will most likely develop  kidney failure.    C.  He should have regular screening for  microalbuminuria.     D.  He should be placed on an angiotensin-  converting enzyme (ACE) inhibitor for ",C 
"A 22-year-old woman with HbSS disease is inter ested in family planning. She has no personal or family history of thrombosis and is nulligravida. What statement is correct about her reproductive risks? A. She is expected to be at a higher risk of mater nal and fetal morbidity and mortality. B.    She should be placed on prophylactic low 
molecular weight heparin during pregnancy 
due to the thrombophilic risk associated with 
HbSS disease.   
 C.    Prophylactic transfusions are indicated for 
pregnant patients with HbSS disease to 
reduce the risk of VOC in pregnancy.   
   D.   Hormonal contraception is not generally safe 
in HbSS patients.",A 
"A 37-year-old woman with HbSS disease has brisk hemolysis at baseline, chronic kidney dis ease, and chronic fatigue. She is not dyspneic and has no history of pulmonary embolism. What is the most appropriate statement regarding her risk of pulmonary hypertension and need for pulmo nary hypertension screening? A. Pulmonary hypertension is rare in patients with HbSS disease and does not warrant rou tine screening. B. No screening is necessary since she is asymp tomatic from a pulmonary standpoint. C. Finding of an elevated tricuspid regurgitant jet velocity by transthoracic echocardiogram is indicative of increased mortality risk. D. Finding of an elevated tricuspid regurgitant jet velocity by transthoracic echocardiogram warrants treatment with phosphodiesterase-5 inhibitors.",C 
A 15-year-old adolescent with HbSS disease has suffered from a cerebrovascular accident at age 3 and has since been maintained on chronic monthly exchange transfusions. Which one of the following statements is the most accurate regard ing secondary prevention of stroke in this patient? A. Hydroxyurea is non-inferior to blood transfu sion in the secondary prevention of stroke in this patient. B. Chronic monthly exchange transfusions can be discontinued once the transcranial Doppler (TCD) velocity normalizes in this patient. C. Findings of a moyamoya pattern of vascular ization by MRI in this patient places him at increased risk of stroke. D. His target hemoglobin S before each exchange transfusion should be less than 50 %.,C 
A 37-year-old man with HbSS disease calls the clinic offi ce with a complaint of a fever of 39.1 �C and no other symptom. What is not an appropri ate intervention for this patient? A. Evaluation in the clinic that includes blood cultures B. Empiric dose of an antibiotic that covers S. pneumoniae C. Prophylactic transfusion D. Empiric oseltamivir during the infl uenza season,C 
