Questions,Answers
"Thrombocytopenia is seen in all except:
a. HSP 
b. DIC
c. TTP 
d. Leukemia","Ans. b. Autosomal recessive 
Ref: William’s 8/e p9 1954–1955
Wiskott–Aldrich syndrome (WAS) is a rare X–linked immunodeficiency 
disorder characterized by microthrombocytopenia, eczema, recurrent 
infections, T-Cell deficiency and increased risk for autoimmune 
and lymphoproliferative disorders. The most consistent feature is 
microthrombocytopenia. The bleeding time is usually prolonged. There 
is variable abnormality in platelet aggregation and release of dense body 
contents.
13
Platelets and Hemostasis"
"Immune destruction of platelets is seen in all, except:
a. CLL
b. HIV
c. SLE
d. All of the above
6 
Mcqs in Hematology","Ans. a. Henoch–SchÖnlein purpura (HSP) Ref: William’s 8/e p1999–2000
Table on p. 1892 William’s 8th ed
Henoch–SchÖnlein purpura is a pediatric vasculitic syndrome charac-
terized by the acute onset of abdominal pain and lower extremity eruption 
of diffuse urticarial plaques and palpable purpura. It affects patients of 
2 to 20 years of age.  Several environmental triggers are present, e.g. viral 
(URI, Hep B, Hep C, HIV, parovirus B19) and bacterial (Streptococcus sp., 
S. aureus and Salmonella sp.).  Adult disease is precipitated by NSAIDs, 
ACE inhibitors and antibiotics, food allergies and insect bites.  Inspite of 
its chronic relapsing pattern, the long term evolution is benign in majority 
of patients.  Glucocorticoids are reserved for cases with renal involvement."
"All of the following can be seen in TTP, except:
a. Micro-angiopathic hemolytic anemia
b. Thrombocytopenia
c. Prolingation of both PT and APTT
d. Presence of fever","Ans. d. All of the above 
Ref: William’s 8/e p1902
Secondary cause of immune destruction of platelets is seen in:
• Autoimmune diseases: SLE, APLA, autoimmune hepatitis, 
autoimmune thyroiditis
• Lymphoproliferative disorders:  CLL, Hodgkin lymphoma, LGL 
leukemia.
• Infections: HIV, Hepatitis C, H. pylori
• MDS
• Agammaglobulinemia, hypogammaglobulinemia, IgA deficiency 
• Drugs: Quinidine, gold, heparin, penicillin, procainamide, α-Methyl-
dopa"
"A 25 years old girl is brought to the emergency department in the 
state of altered sensorium with high grade fever. Investigation 
revealed anemia, thrombocytopenia with fragmented red cells on 
peripheral blood smear examination.  CT­brain is normal and a 
serum creatinine is 3.0 mg/dl.  PT/APTT/TT are normal. Which of 
the following is the most effective treatment?
a. Plasma exchange therapy
b. Steriods with IVIg
c. Platelet transfusion
d. Broad–spectrum IV antibiotics","Ans. c. Prolongation of both PT and APTT  
 
Ref. William’s 8/e p2165-2166
TTP has manifestations of microangiopathic hemolytic anemia and 
thrombocytopenia. Many patients have fever. Thrombocytopenia typically 
is severe.  Almost all patients have normal fibrinogen levels, PT and APTT."
"All of the following are used in the treatment of TTP, except:
a. Corticosteriods
b. Plasma exchange therapy
c. Cryosupernatant transfusion
d. Platelet transfusion
e. Vincristine","Ans. a. Plasma exchange therapy 
Ref: William’s 8/e p2171
The mainstay of therapy for TTP is plasma exchange with the exception 
of factor H deficiency and possibly APS syndrome and quinine–induced 
disease. No compelling evidence indicates that plasma therapy is effective 
for thrombotic micro-angiopathy caused by a mechanism other than 
ADAMTS 13 deficiency."
"A 25 years old healthy woman has delivered a baby who after birth, 
is drowsy and found to have a cerebral hemorrhage. Her platelet 
count is 21000/mm3 and the maternal platelet count is 1,30,000/
mm","Ans. d. Platelet transfusion 
Ref: William’s 8/e p2171–2172
The treatment options for TTP are
• Glucocorticords (2 mg/kg/day)
• Plasma exchange therapy
• Plasma therapy
• Antiplatelet agents once platelet count exceeds 50,000/mm3
14 
Mcqs in Hematology
• Vincristine, rituximab, cyclosporine, cyclophosphamide, azathioprine, 
chop, autologous stem cell transplantation–usually all these used as 
2nd line therapy
• Splenectomy."
"Maternal serum will most likely show:
a. Antibodies to HIV
b. Anti HPA-1a antibodies
c. Platelet auto antibodies
d. Anti HLA antibodies","Ans. b. Anti­HPA­1a antibodies 
 
 
Ref: William’s 8/e p1912, BJH -152, p 460-468
This patient is a case of neonatal alloimmune thrombocytopenia (NAIT) 
so maternal serum will show anti–platelet antibodies which is most 
commonly against anti–HPA-1a antigen (78%) in whites. However in 
Asians most common is HPA-4a (80%).  It is very important to differentiate 
between maternal ITP and NAIT and the features are
Maternal ITP
NAIT
• Rarely have severe thrombocyto-
penia or bleeding manifestation 
in fetus
• Maternal platelet count is low
• Thrombocytopenia is severe 
and intracranial hemorrhage 
rate is higher (10–20%)
• Maternal platelet count is normal
NAIT is like Rh hemolytic disease of newborn but the first born child is 
affected in 40-60% of cases (which is spared in Rh hemolytic disease of 
newborn).  Platelet count recovers to normal in 1–2 weeks.  The diagnosis is 
usually confirmed by tests for circulating maternal alloantibodies against 
fetal antigens (usually by MAIPA) or by platelet typing of the parents and 
neonate by genotyping or ELISA.
Postnatal management: Options are IVIg, glucocorticoids and platelet 
transfusions.  In severe bleeding, platelets can be transfused and should 
be ABO and (Rh) D compatible and HPA-1a negative.
Prenatal management: In high-risk NAIT weekly IVIg/administration 
with or without glucocorticoids. In severe thrombocytopenia fetuses, 
early delivery with caesarean Section may reduce ICH."
"A young pregnant lady is registered in ante­natal clinic and found to 
be having blood group B Rh D positive. In previous pregnancy she 
was grouped as BRhD negative and has documenting evidence of her 
blood group:
a. Laboratory error
b. Weak/Partial Rh D group
c. Rh null phenotype
d. Presence of anti-D in her serum
7
Platelets and Hemostasis","Ans. b. Weak/Partial Rh D group 
Ref: William’s 8/e p2266
This pregnant lady is most likely to have weak Rh D expression and should 
be labeled as Rh (D) positive which was missed in previous testing.  Blood 
donors and pregnant women who type D negative using standard typing 
sera should be tested further for weak expression using more sensitive 
methods, such as an ICT.  Donors with weak D antigen are considered 
positive.  Testing for weak D is optional for transfusion recipients."
"Which of the following can be given safely in pregnancy?
a. Imatinib
b. Heparin
c. Warfarin
d. Thalidomide","Ans. b. Heparin 
Ref: Essential of medical pharmacology 5/e p66
Human Teratogenic Drugs
Thalidomide  
–  Phocomelia, multiple defects
All anticancer drugs  –  Multiple defects, fetal death
Androgens 
–  Virilization, limb, esophageal, cardiac defects
Progestins  
–  Virilization of female fetus
Tetracycline  
– Discolored and deformed teeth, retarded bone   
 
 
growth
Warfarin  
–  Nose, eye and hand defects, growth retardation
Phenytion  
–  Hypoplastic phalanges, cleft lip/palate 
 
 
 
microcephaly
Phenobarbitone  
–  Various malformations
Chlorpromazine  
–  Neural tube defects
Valproate sodium  
–  Spina bifida and other normal tube defects
Lithium  
–  Fetal goitre, cardiac and other abnormalities
Isotretinoin  
–  Craniofacial, heart and CVS defects
Imatinib  
– Multiple defects exomphalos, kidney   
 
 
 
abnormalities"
"Five days after starting warfarin therapy in a patient of atrial fib­
rillation the 60 year old man returns to his physician complaining 
of large patches of discolored stain over his gluteal region and legs.  
This complication is most likely the result of:
a. Antithrombin III deficiency
b. Protein C deficiency
c. Drug allergy
d. Very high INR","Ans. b. Protein C deficiency 
Ref: William’s 8/e p355-356
This is a case of warfarin induced skin necrosis, a rare complication of 
warfarin therapy that occur early in the case of anticoagulation.  Typical 
complaints are burning and tingling at the affected site, which usually 
involves a region with a large amount of subcutaneous tissue, such as 
breast, buttock or thigh.  Painful hemorrhagic full thickness skin infarction 
develops and frequently required skin grafting.  Thrombosis in dermal 
and subdermal venules is the underlying cause and this may be caused 
by disproportionately rapid reduction in protein C and S, in concert with 
relatively preserved levels of Factor II and X that are seen early in warfarin 
treatment."
"All of the following can cause both arterial and venous thrombosis, 
except:
a. APLA syndrome
b. Hyper homocysteinemia
c. Protein C deficiency
d. Polycythemia vera","Ans. c. Protein C deficiency
 
 Both Arterial and Venous
• Cancer
• Oral HRT (hormone replacement therapy)
• APLA syndrome
• Polycythemia
• Hyper homocysteinemia
• Factor V leiden and prothrombine gene mutation G20210A
22 
Mcqs in Hematology
Only venous
• Protein C and S deficiency
• Antithrombosis III deficiency
• Elevated factor VIII level
• Dysfibrinogenemia
Only arterial
• Diabetes mellitus–hypertension
• Obesity–hypercholesterolemia
• Smoking"
"Commonest inherited cause of thrombosis in Caucasians is:
a. Protein S deficiency
b. Factor V leiden mutation
c. Anti thrombin III deficiency
d. Protein C deficiency","Ans. b. Factor V Leiden mutation 
Ref: William’s 8/e p2122
Factor V Leiden (G1691A or arg 506 glu substitution) and prothrombin 
(G 20210 A) are rare in African and orientals but they have prevalence 
in whites, highest prevalence of heterozygotes (11–14%) is reported in 
Sweden and Arabs."
"Which of the following is a major risk factor for venous thrombosis?
a. Smoking
b. High cholesterol
c. Hypertension
d. Diabetes mellitus
e. Cancer
2
Thrombosis
18 
Mcqs in Hematology","Ans. c. Cancer 
Refer to explanation for Q. No – 3"
"Which of the following is not a risk factor for arterial thrombosis?
a. Diabetes mellitus
b. Gout
c. Male sex
d. Smoking
e. Hypohomocysteinemia","Ans. e. Hypohomocysteinemia
 
Ref: J. Clin Invert 001:10.1172 / JC134957, Venous thrombosis and 
Pulmonary embolism, Michnael Hume, P–76) (William’s 8/e p2122)
Thrombosis and embolism has also been implicated as secondary to 
diabetes mellitus, gout, smoking, administration of ACTH, but these 
cannot yet be substantiated as predisposing causes. Male sex has also 
been implicated as predisposing risk factor which may be related to 
differences in the way they secrete growth hormone and its effect on 
liver gene expression.  Men secrete GH not in pulses and women secrete 
it in pulses. GH controls the production of coagulation protein by liver, 
the differences in secretion may be related to differences in clotting and 
thrombosis risk. Hypohomocysteinemia, definitely is not a risk factor 
for thrombosis."
"Which one of the following statement is true regarding factor V Leiden 
gene mutation?
a. In Caucasians the incidence of factor V Leiden is 5%
b. Individuals have an increased risk of bleeding
c. Homozgous or heterozygous state carries the same risk
d. Factor V Leiden mutation is the most common cause of APCR 
resistance","Ans. b. Individuals have increased risk of bleeding 
 
Ref: William’s 8/e p2122 -2123, Hoffman  5/e p2030
Factor V Leiden and prothrombin gene mutation G20210A are both 
common in white population with prevalence of heterozyosity for 
these mutations are 4.8 (5%) and 2.7%, respectively. For factor V 
Leiden, homozygotes are at higher thrombotic risk than that noted for 
heterozygotes. Factor V Leiden is the most common cause of APCR 
resistance (> 90%)."
"Which of the following statement is not true?
a. Antithrombin III deficiency is sex linked
b. Mucinous adenocarcinomas are more prone for DIC
c. Protein C deficiency can develop coumadin induced skin necrosis 
when started without heparin
d. Obesity is a risk factor for thrombosis in postoperative patient","Ans. a. Antithrombin deficiency is sex linked 
 
 
Ref: William’s 8/e p2109, Hoffman 5/e p2025
Antithrombin III deficiency affects both sexes equally since it is inherited 
in an autosomal dominant fashion. Frequently induced by DIC in patients 
23
Thrombosis 
with malignancy, microangiopathic hemolytic anemia is particularly 
severe in patients with widespread intravascular thrombosis associated 
with mucin secreting adenocarcinoma.
For option 3 refer to explaination of Q. No 2
Obesity is definitely a risk factor for venous thrombosis, particularly in 
postoperative phase due to prolonged immobilization."
"Which one of the following test is not done in the evaluation of 
thrombophilia?
a. PT and APTT
b. Anticardiolipin and anti-B2GPI antibiodies
c. Serum cholestrol
d. Protein C and S assay","Ans. c. Serum cholestrol levels 
Ref: William’s 5/e p2153, 2126, 2127
High serum cholesterol levels can be associated with risk of atherosclerotic 
arterial disease. For evaluation of both heritable and acquired risk factors 
for thrombophilia all other investigations are routinely done. PT/APTT 
is done to look for APLA syndrome screening. APLA syndrome can be 
diagnosed with the help of anticardiolipin and B2 GP-I. Protein C and S 
deficiency are inherited cause of thrombophilia."
"Which one of these is not an advantage of LMWH over UFH?
a. There is a reduced risk of osteoporosis
b. Has a half life of 30 min so effect can be easily reversed
c. Dosing does not require monitoring by blood test
d. Does not require continuous infusion","Ans. b. Has a half life of 30 min so the effect can be easily reversed 
 
Ref: William’s 8/e p357 – 358
Low molecular weight heparins (LMWHs) have a longer half-life than 
unfractionated heparins, so can be given once or twice daily subcutaneous 
injection. LMWHs show less binding to plasma proteins and cells, and 
thus have more predictable blood levels and anticoagulant effect.  Dose 
to be adjusted in renal insufficiency since LMWHs have renal clearance. 
Protamine sulfate does not completely reverse the anticoagulant effect of 
LMWH, so can be given in overdose but is partially effective. It has been 
shown by animal and small clinical studies that osteoporosis may be less 
common with LMWH.  Normally dosing does not require monitoring by 
blood test. Monitoring by anti Xa level is done in obesity, renal failure, 
trauma, ischemic stroke, or h/o GI bleeding. Also in pregnancy and 
children. Smaller risk of heparin induced thrombocytopenia."
"Antiphospholipid antibody syndrome (APLA) is associated with all 
of the following, except:
a. Pancytopenia
b. Recurrent abortions
c. Venous thrombosis
d. Pulmonary hypertension","Ans. d. Pancytopenia 
Ref: William’s 8/e p2150table
Clinical manifestations associated with APS are:
• Venous and arterial thromboembolism
• Pregnancy complications
• Thrombocytopenia
• Cerebral venous thrombosis
• Coronary artery disease
• Kidney disease
• Pulmonary hypertension
• ARDS
• Peripheral arterial disease
• Hemorrhagic adrenal infarction
• Budd – Chiari syndrome
24 
Mcqs in Hematology
• Sensorineural hearing loss
• Catastrophic APLA"
"Which of the following treatment is required in pregnant women 
with APLA?
a. Aspirin + LMWH + Warfarin
b. Aspirin + LMWH + Steroid
19
Thrombosis 
c. Aspirin + LMWH
d. No treatment","Ans. c. Aspirin and LMWH 
Ref: William’s 8/e p2157
A combination of low-dose aspirin (75–81 mg) and prophylactic 
doses of LMWH should be used to treat women with a h/o 3 or more 
spontaneous pregnancy losses and evidence of a APL antibodies. However 
unfractionated heparin (i.e 5000 units every 12 hours subcutaneously) 
can also be used. Treatment should be started as soon as the pregnancy 
is documented and continued until delivery."
"All of the following statements are true about HUS, except:
a. Uremia
b. Thrombocytopenia
c. Positive DCT
d. Fibrinogen normal","Ans. c. Positive DCT 
Ref: Hoffman 5/e p2101, 2106 – 2108
HUS is of 2 types, D+ HUS and D-HUS, D+ HUS is due to verotoxin,  
E. coli – associated (VTEC) and shiga – like toxin (Stx) – related HUS. Also 
with 0157:H7 strain of E. coli. In developing countries Shigella dysenteriae 
serotype 1 is also associated with HUS. Citrobacter freundii is also been 
implicated. D–ve HUS is due to the congenital deficiency of complement 
regulatory proteins I and H.
The features of HUS/TTP are:
• Fever is typically absent or mild
• Uremia
• Microangiopathic hemolytic anemia with DAT being negative
• Thrombocytopenia
• Presence of neurological manifestation (~ 30%) usually irritability 
somnelescence and less commonly confusion, paresis and seizure
• PT, APTT and fibrinogen levels are usually normal or only mildly 
perturbed
• Mild elevations in FDP’s occur in 50% patients
• Moderate leukocytosis
• Elevated free plasma Hb, low haptoglobin, high LDH
• D+ HUS is treated with plasma exchange, cryosupernatant infusion 
(contains of ADAMTS-13) steroids, etc.
• D- HUS – FFP is indicated to replace factor I and H, which is the cause 
of pathogenesis"
"D –ve HUS is due to the inherited deficiency of:
a. Factor I and H
b. Complement C3, C4
c. ADAMTS 13
d. Large vWF multimers","Ans. b. Factor I and H
Refer to explaination for above question"
